dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_n_out,params_p,params_mean_type,params_kernel_type,params_num_mixtures,params_lr,params_grid_size,params_initialize_fe,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_fixed_params
216.0,k2204_PPV,1.0,19.0,3.012317529282882e-05,2022-10-11 15:00:20.689207,2022-10-11 15:05:05.569989,0 days 00:04:44.880782,206.0,2.0,2.0,0.0,linear,matern0.5,,0.0464130155344855,163.0,0.0,140.0,,,COMPLETE,
216.0,k2204_PPV,1.0,20.0,0.0011143610463477,2022-10-11 15:05:05.570596,2022-10-11 15:05:53.010933,0 days 00:00:47.440337,224.0,3.0,2.0,0.0,linear,matern0.5,,0.014744982730505,173.0,0.0,14.0,,,COMPLETE,
216.0,k2204_PPV,1.0,21.0,0.000247722826316,2022-10-11 15:05:53.011541,2022-10-11 15:07:54.466494,0 days 00:02:01.454953,135.0,2.0,2.0,0.0,linear,matern0.5,,0.0532170972186408,96.0,0.0,56.0,,,COMPLETE,
216.0,k2204_PPV,1.0,22.0,0.000812523663626,2022-10-11 15:07:54.467147,2022-10-11 15:08:32.041256,0 days 00:00:37.574109,70.0,2.0,2.0,0.0,linear,matern0.5,,0.0561887085924899,206.0,0.0,8.0,,,COMPLETE,
216.0,k2204_PPV,1.0,23.0,0.0004728658677777,2022-10-11 15:08:32.041822,2022-10-11 15:09:37.108099,0 days 00:01:05.066277,267.0,2.0,3.0,0.0,linear,matern0.5,,0.023039304490064,10.0,0.0,24.0,,,COMPLETE,
216.0,k2204_PPV,1.0,24.0,0.0002456355432514,2022-10-11 15:09:37.108664,2022-10-11 15:12:10.106792,0 days 00:02:32.998128,147.0,3.0,2.0,0.0,linear,matern0.5,,0.0573739752222319,80.0,0.0,73.0,,,COMPLETE,
216.0,k2204_PPV,1.0,25.0,0.0006792907006456,2022-10-11 15:12:10.107396,2022-10-11 15:12:50.439172,0 days 00:00:40.331776,417.0,2.0,3.0,0.0,linear,matern0.5,,0.0180482831596879,43.0,0.0,5.0,,,COMPLETE,
216.0,k2204_PPV,1.0,26.0,0.0003578643372748,2022-10-11 15:12:50.439765,2022-10-11 15:14:00.161265,0 days 00:01:09.721500,175.0,2.0,4.0,0.0,linear,rbf,,0.0493174659147465,12.0,0.0,21.0,,,COMPLETE,
216.0,k2204_PPV,1.0,27.0,0.0005113383085699,2022-10-11 15:14:00.161829,2022-10-11 15:14:50.100039,0 days 00:00:49.938210,318.0,3.0,3.0,0.0,linear,matern1.5,,0.084462620758265,23.0,1.0,11.0,,,COMPLETE,
216.0,k2204_PPV,1.0,28.0,0.0602089138701558,2022-10-11 15:14:50.100618,2022-10-11 15:15:46.209302,0 days 00:00:56.108684,236.0,2.0,2.0,0.0,linear,spectral,8.0,0.0388266512330751,384.0,0.0,11.0,,,COMPLETE,
216.0,k2204_PPV,1.0,29.0,0.0004930854702251,2022-10-11 15:15:46.209876,2022-10-11 15:16:57.637283,0 days 00:01:11.427407,984.0,3.0,2.0,0.0,linear,rbf,,0.0098760008605959,136.0,0.0,30.0,,,COMPLETE,
216.0,k2204_PPV,1.0,30.0,0.0004662350693251,2022-10-11 15:16:57.637845,2022-10-11 15:17:45.760149,0 days 00:00:48.122304,114.0,2.0,3.0,0.0,linear,matern0.5,,0.0185955577367677,31.0,0.0,11.0,,,COMPLETE,
216.0,k2204_PPV,1.0,31.0,0.0004825002615689,2022-10-11 15:17:45.760731,2022-10-11 15:18:51.471742,0 days 00:01:05.711011,78.0,3.0,3.0,0.0,linear,matern0.5,,0.0946869941143263,32.0,0.0,16.0,,,COMPLETE,
216.0,k2204_PPV,1.0,32.0,8.216240303227096e-06,2022-10-11 15:18:51.472306,2022-10-11 15:23:59.608530,0 days 00:05:08.136224,174.0,2.0,3.0,0.0,linear,matern0.5,,0.0677564559434602,34.0,0.0,121.0,,,COMPLETE,
216.0,k2204_PPV,1.0,33.0,2.913315984187648e-05,2022-10-11 15:23:59.609120,2022-10-11 15:28:05.454406,0 days 00:04:05.845286,210.0,2.0,3.0,0.0,linear,matern0.5,,0.0634735202826976,29.0,0.0,97.0,,,COMPLETE,
216.0,k2204_PPV,1.0,34.0,0.0004806667639059,2022-10-11 15:28:05.454997,2022-10-11 15:28:46.806075,0 days 00:00:41.351078,195.0,2.0,3.0,0.0,linear,matern0.5,,0.0123343366959554,27.0,1.0,7.0,,,COMPLETE,
216.0,k2204_PPV,1.0,35.0,0.002497910434613,2022-10-11 15:28:46.806656,2022-10-11 15:30:13.771937,0 days 00:01:26.965281,588.0,2.0,3.0,0.0,linear,spectral,5.0,0.0696132087600737,36.0,0.0,12.0,,,COMPLETE,
216.0,k2204_PPV,1.0,36.0,0.0001764311273291,2022-10-11 15:30:13.772523,2022-10-11 15:34:16.212969,0 days 00:04:02.440446,253.0,2.0,4.0,0.0,linear,matern1.5,,0.0383415391330718,18.0,0.0,67.0,,,COMPLETE,
216.0,k2204_PPV,1.0,37.0,0.0005095899541629,2022-10-11 15:34:16.213568,2022-10-11 15:35:23.371956,0 days 00:01:07.158388,319.0,2.0,2.0,0.0,linear,rbf,,0.0234660982577101,70.0,0.0,30.0,,,COMPLETE,
216.0,k2204_PPV,1.0,38.0,0.000379011289624,2022-10-11 15:35:23.372531,2022-10-11 15:36:31.630476,0 days 00:01:08.257945,461.0,2.0,4.0,0.0,constant,matern0.5,,0.0069787592891165,18.0,1.0,6.0,,,COMPLETE,
216.0,k2204_PPV,1.0,39.0,0.0002748543411144,2022-10-11 15:36:31.631067,2022-10-11 15:37:59.454363,0 days 00:01:27.823296,698.0,2.0,3.0,0.0,linear,matern1.5,,0.0398171084017353,29.0,0.0,31.0,,,COMPLETE,
216.0,k2204_PPV,1.0,40.0,0.0005080922928755,2022-10-11 15:37:59.455018,2022-10-11 15:39:23.253215,0 days 00:01:23.798197,281.0,3.0,3.0,0.0,constant,matern0.5,,0.0633804497430472,23.0,0.0,22.0,,,COMPLETE,
216.0,k2204_PPV,1.0,41.0,0.0002703279133129,2022-10-11 15:39:23.253800,2022-10-11 15:40:46.723638,0 days 00:01:23.469838,120.0,2.0,3.0,0.0,linear,matern0.5,,0.076730673988503,30.0,0.0,26.0,,,COMPLETE,
