dataset_id,dataset_name,outer_run,n_max,n_layers,n_out,p,mean_type,kernel_type,num_mixtures,lr,grid_size,initialize_fe,MAX_EPOCHS,mse,mae,max_absolute_error,nll_score,train_time
42225.0,diamonds,1.0,705.0,2.0,3.0,0.0,linear,matern0.5,,0.000872903270861,23.0,0.0,132.0,553329.75,453.6622619628906,12292.0107421875,9.632555396376151,99.8121054172516
42225.0,diamonds,2.0,266.0,2.0,3.0,0.0,constant,matern1.5,,0.0031333912670361,38.0,True,132.0,379790.8125,346.56549072265625,7269.533203125,9.484209684435788,107.83315753936768
42225.0,diamonds,3.0,711.0,2.0,2.0,0.0,linear,rbf,,0.0305006622807954,347.0,True,160.0,352204.3125,326.1976318359375,10183.71484375,7.405825299715863,55.01078224182129
42225.0,diamonds,4.0,562.0,3.0,3.0,0.0,linear,matern1.5,,0.0004774776740756,28.0,True,80.0,374353.6875,358.31842041015625,5718.1923828125,9.62904477620742,61.43286609649658
42225.0,diamonds,5.0,193.0,4.0,3.0,0.0,linear,matern1.5,,0.0225458014638455,27.0,False,75.0,431235.9375,345.4902648925781,16212.13671875,8.89669936998467,57.17260098457336
