dataset_id,dataset_name,outer_run,n_max,n_layers,n_out,p,mean_type,kernel_type,num_mixtures,lr,grid_size,initialize_fe,MAX_EPOCHS,mse,mae,max_absolute_error,nll_score,train_time
287.0,wine_quality,1.0,940.0,3.0,4.0,0.0,constant,rbf,,0.00079622033489,17.0,1.0,136.0,0.4891447126865387,0.5383314490318298,3.1704001426696777,1.5797817274062982,82.90048289299011
287.0,wine_quality,2.0,793.0,5.0,3.0,0.0,linear,rbf,,0.0004674491217902,27.0,True,133.0,0.5074280500411987,0.5565529465675354,3.4754798412323,1.595692840419889,30.433937549591064
287.0,wine_quality,3.0,782.0,2.0,4.0,0.0,linear,rbf,,0.0043906047061509,15.0,True,91.0,0.4695967435836792,0.5392414927482605,3.2931485176086426,1.467644169872688,51.34809446334839
287.0,wine_quality,4.0,554.0,5.0,4.0,0.0,linear,matern1.5,,0.0016574411281818,20.0,True,102.0,0.5073612928390503,0.5443344116210938,2.953568935394287,1.5567675581637783,85.97750043869019
287.0,wine_quality,5.0,148.0,5.0,3.0,0.0,linear,rbf,,0.0001064673286917,45.0,False,302.0,0.4787933528423309,0.5420122146606445,3.197559833526612,1.6053851689487326,110.07230377197266
