dataset_id,dataset_name,outer_run,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,mse,mae,max_absolute_error
216.0,k2204_BPV,1.0,21.0,auto,1.0,2.0,110.0,5.334976697116794e-07,0.000428846796422,0.004752288599805
216.0,k2204_BPV,2.0,36.0,sqrt,1.0,2.0,163.0,6.976740772996795e-07,0.0006157753275847,0.0040309620226145
216.0,k2204_BPV,3.0,36.0,auto,1.0,2.0,75.0,6.38039062135193e-07,0.0004842740605508,0.0052802450448123
216.0,k2204_BPV,4.0,41.0,auto,1.0,2.0,169.0,7.068257904311525e-07,0.0005103490925873,0.0046538957891302
216.0,k2204_BPV,5.0,16.0,sqrt,1.0,2.0,162.0,6.7727241343947e-07,0.0005970141806283098,0.00595298971391367
