dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
44027.0,year,1.0,28.0,0.0103289179000824,2022-10-27 09:56:24.230781,2022-10-27 10:59:17.618515,0 days 01:02:53.387734,28.0,auto,4.0,7.0,132.0,COMPLETE
44027.0,year,1.0,29.0,0.0107419699543797,2022-10-27 10:59:17.619585,2022-10-27 11:08:51.100903,0 days 00:09:33.481318,23.0,sqrt,7.0,7.0,200.0,COMPLETE
44027.0,year,1.0,30.0,0.0103867859861175,2022-10-27 11:08:51.101945,2022-10-27 11:33:57.141799,0 days 00:25:06.039854,30.0,auto,9.0,5.0,57.0,COMPLETE
44027.0,year,1.0,31.0,0.0102761231736838,2022-10-27 11:33:57.142829,2022-10-27 13:24:00.676085,0 days 01:50:03.533256,38.0,auto,8.0,9.0,247.0,COMPLETE
44027.0,year,1.0,32.0,0.0102907474919414,2022-10-27 13:24:00.677108,2022-10-27 14:53:54.918693,0 days 01:29:54.241585,43.0,auto,7.0,9.0,199.0,COMPLETE
44027.0,year,1.0,33.0,0.0102869622604395,2022-10-27 14:53:54.919768,2022-10-27 16:25:12.699032,0 days 01:31:17.779264,50.0,auto,8.0,10.0,205.0,COMPLETE
44027.0,year,1.0,34.0,0.0107393048588168,2022-10-27 16:25:12.700079,2022-10-27 16:34:32.417544,0 days 00:09:19.717465,50.0,sqrt,8.0,9.0,196.0,COMPLETE
44027.0,year,1.0,35.0,0.0103051077779432,2022-10-27 16:34:32.418551,2022-10-27 17:34:40.684067,0 days 01:00:08.265516,35.0,auto,7.0,11.0,133.0,COMPLETE
44027.0,year,1.0,36.0,0.0111690604047589,2022-10-27 17:34:40.685078,2022-10-27 17:40:01.763021,0 days 00:05:21.077943,45.0,auto,3.0,10.0,11.0,COMPLETE
44027.0,year,1.0,37.0,0.0107106075957954,2022-10-27 17:40:01.764019,2022-10-27 17:48:53.020402,0 days 00:08:51.256383,39.0,sqrt,6.0,11.0,181.0,COMPLETE
44027.0,year,1.0,38.0,0.0103290769828097,2022-10-27 17:48:53.021415,2022-10-27 18:27:17.319770,0 days 00:38:24.298355,31.0,auto,7.0,10.0,85.0,COMPLETE
44027.0,year,1.0,39.0,0.0107536814773596,2022-10-27 18:27:17.320800,2022-10-27 18:37:36.185192,0 days 00:10:18.864392,20.0,sqrt,5.0,9.0,216.0,COMPLETE
44027.0,year,1.0,40.0,0.0104444999098574,2022-10-27 18:37:36.186225,2022-10-27 19:28:41.568664,0 days 00:51:05.382439,16.0,auto,6.0,11.0,124.0,COMPLETE
44027.0,year,1.0,41.0,0.010281865133058,2022-10-27 19:28:41.569704,2022-10-27 21:17:30.821796,0 days 01:48:49.252092,38.0,auto,9.0,7.0,247.0,COMPLETE
44027.0,year,1.0,42.0,0.0102934672520569,2022-10-27 21:17:30.822847,2022-10-27 22:50:19.324705,0 days 01:32:48.501858,39.0,auto,10.0,8.0,213.0,COMPLETE
44027.0,year,1.0,43.0,0.0102923293789667,2022-10-27 22:50:19.325728,2022-10-27 23:58:27.148067,0 days 01:08:07.822339,26.0,auto,8.0,6.0,153.0,COMPLETE
44027.0,year,1.0,44.0,0.0102760830831298,2022-10-27 23:58:27.149073,2022-10-28 01:35:43.904644,0 days 01:37:16.755571,44.0,auto,8.0,6.0,218.0,COMPLETE
44027.0,year,1.0,45.0,0.0107945612423071,2022-10-28 01:35:43.905836,2022-10-28 01:45:55.793862,0 days 00:10:11.888026,12.0,auto,8.0,9.0,29.0,COMPLETE
44027.0,year,1.0,46.0,0.0102860043044601,2022-10-28 01:45:55.794947,2022-10-28 03:05:57.334837,0 days 01:20:01.539890,44.0,auto,7.0,4.0,177.0,COMPLETE
44027.0,year,1.0,47.0,0.0106810182721789,2022-10-28 03:05:57.335878,2022-10-28 03:14:47.727936,0 days 00:08:50.392058,33.0,sqrt,5.0,4.0,178.0,COMPLETE
44027.0,year,1.0,48.0,0.0106794314979082,2022-10-28 03:14:47.728993,2022-10-28 03:22:27.371648,0 days 00:07:39.642655,44.0,auto,7.0,4.0,17.0,COMPLETE
44027.0,year,1.0,49.0,0.0103127578589972,2022-10-28 03:22:27.372735,2022-10-28 04:30:59.597628,0 days 01:08:32.224893,23.0,auto,6.0,3.0,151.0,COMPLETE
44027.0,year,1.0,50.0,0.0103177466654989,2022-10-28 04:30:59.598644,2022-10-28 05:14:35.710815,0 days 00:43:36.112171,29.0,auto,9.0,5.0,99.0,COMPLETE
44027.0,year,1.0,51.0,0.0102784890377113,2022-10-28 05:14:35.711794,2022-10-28 06:51:41.010964,0 days 01:37:05.299170,46.0,auto,8.0,7.0,218.0,COMPLETE
44027.0,year,1.0,52.0,0.010283072331594,2022-10-28 06:51:41.012046,2022-10-28 08:29:53.839355,0 days 01:38:12.827309,45.0,auto,9.0,7.0,223.0,COMPLETE
44027.0,year,1.0,53.0,0.0102818655608448,2022-10-28 08:29:53.840422,2022-10-28 10:11:44.131159,0 days 01:41:50.290737,37.0,auto,9.0,7.0,230.0,COMPLETE
44027.0,year,1.0,54.0,0.010291464355534,2022-10-28 10:11:44.132458,2022-10-28 11:47:47.550674,0 days 01:36:03.418216,33.0,auto,10.0,6.0,218.0,COMPLETE
44027.0,year,1.0,55.0,0.0110107391668496,2022-10-28 11:47:47.552934,2022-10-28 12:24:49.045608,0 days 00:37:01.492674,10.0,auto,9.0,7.0,117.0,COMPLETE
44027.0,year,1.0,56.0,0.0102953500514044,2022-10-28 12:24:49.046716,2022-10-28 13:38:07.985645,0 days 01:13:18.938929,37.0,auto,11.0,8.0,168.0,COMPLETE
44027.0,year,1.0,57.0,0.0102895182738961,2022-10-28 13:38:07.986639,2022-10-28 15:21:12.628474,0 days 01:43:04.641835,42.0,auto,8.0,6.0,229.0,COMPLETE
44027.0,year,1.0,58.0,0.0102834186409504,2022-10-28 15:21:12.629502,2022-10-28 17:11:25.527319,0 days 01:50:12.897817,37.0,auto,10.0,8.0,250.0,COMPLETE
44027.0,year,1.0,59.0,0.0103154740012679,2022-10-28 17:11:25.528393,2022-10-28 18:34:42.032045,0 days 01:23:16.503652,47.0,auto,13.0,7.0,194.0,COMPLETE
44027.0,year,1.0,60.0,0.0104055941881107,2022-10-28 18:34:42.033117,2022-10-28 18:53:50.990538,0 days 00:19:08.957421,40.0,auto,9.0,6.0,43.0,COMPLETE
44027.0,year,1.0,61.0,0.0102780534944984,2022-10-28 18:53:50.991565,2022-10-28 20:34:59.610362,0 days 01:41:08.618797,47.0,auto,9.0,7.0,227.0,COMPLETE
44027.0,year,1.0,62.0,0.0102881465341824,2022-10-28 20:34:59.611378,2022-10-28 22:13:43.488262,0 days 01:38:43.876884,34.0,auto,10.0,7.0,224.0,COMPLETE
44027.0,year,1.0,63.0,0.010297534670892,2022-10-28 22:13:43.489245,2022-10-28 23:22:41.869909,0 days 01:08:58.380664,46.0,auto,8.0,8.0,153.0,COMPLETE
44027.0,year,1.0,64.0,0.0102932049948392,2022-10-28 23:22:41.870936,2022-10-29 00:46:27.810175,0 days 01:23:45.939239,42.0,auto,9.0,6.0,188.0,COMPLETE
44027.0,year,1.0,65.0,0.0102687966549444,2022-10-29 00:46:27.811193,2022-10-29 02:27:44.610087,0 days 01:41:16.798894,32.0,auto,8.0,8.0,225.0,COMPLETE
44027.0,year,1.0,66.0,0.0103158527842773,2022-10-29 02:27:44.611083,2022-10-29 03:31:19.070758,0 days 01:03:34.459675,31.0,auto,7.0,9.0,139.0,COMPLETE
44027.0,year,1.0,67.0,0.0112112468409639,2022-10-29 03:31:19.071794,2022-10-29 03:31:59.986150,0 days 00:00:40.914356,41.0,sqrt,8.0,8.0,14.0,COMPLETE
44027.0,year,1.0,68.0,0.0102884155337251,2022-10-29 03:31:59.987207,2022-10-29 04:48:46.040950,0 days 01:16:46.053743,47.0,auto,6.0,5.0,166.0,COMPLETE
44027.0,year,1.0,69.0,0.0102949625705409,2022-10-29 04:48:46.042263,2022-10-29 06:15:53.064279,0 days 01:27:07.022016,50.0,auto,11.0,9.0,201.0,COMPLETE
44027.0,year,1.0,70.0,0.0102813475371775,2022-10-29 06:15:53.066607,2022-10-29 08:07:18.321603,0 days 01:51:25.254996,25.0,auto,8.0,8.0,249.0,COMPLETE
44027.0,year,1.0,71.0,0.0102797404239186,2022-10-29 08:07:18.322642,2022-10-29 09:57:50.067105,0 days 01:50:31.744463,28.0,auto,8.0,8.0,247.0,COMPLETE
44027.0,year,1.0,72.0,0.0102947198956583,2022-10-29 09:57:50.068182,2022-10-29 11:33:37.672411,0 days 01:35:47.604229,25.0,auto,8.0,8.0,214.0,COMPLETE
44027.0,year,1.0,73.0,0.0102986952827385,2022-10-29 11:33:37.673432,2022-10-29 12:58:10.321716,0 days 01:24:32.648284,29.0,auto,7.0,9.0,186.0,COMPLETE
44027.0,year,1.0,74.0,0.0102844970531851,2022-10-29 12:58:10.322794,2022-10-29 14:50:09.433564,0 days 01:51:59.110770,27.0,auto,8.0,8.0,250.0,COMPLETE
44027.0,year,1.0,75.0,0.0102819001356263,2022-10-29 14:50:09.434620,2022-10-29 16:23:39.076271,0 days 01:33:29.641651,35.0,auto,7.0,10.0,206.0,COMPLETE
44027.0,year,1.0,76.0,0.0102995373663693,2022-10-29 16:23:39.077500,2022-10-29 17:39:51.636539,0 days 01:16:12.559039,32.0,auto,6.0,7.0,165.0,COMPLETE
44027.0,year,1.0,77.0,0.0102911459070049,2022-10-29 17:39:51.637641,2022-10-29 19:25:27.440022,0 days 01:45:35.802381,24.0,auto,8.0,9.0,235.0,COMPLETE
44027.0,year,1.0,78.0,0.0107873550817411,2022-10-29 19:25:27.441052,2022-10-29 19:34:34.135999,0 days 00:09:06.694947,21.0,sqrt,9.0,8.0,193.0,COMPLETE
44027.0,year,1.0,79.0,0.0119748367271038,2022-10-29 19:34:34.137044,2022-10-29 20:22:05.864595,0 days 00:47:31.727551,6.0,auto,10.0,8.0,223.0,COMPLETE
44027.0,year,1.0,80.0,0.0106243402119163,2022-10-29 20:22:05.865587,2022-10-29 20:31:15.575090,0 days 00:09:09.709503,27.0,auto,7.0,6.0,20.0,COMPLETE
44027.0,year,1.0,81.0,0.0102864608687683,2022-10-29 20:31:15.576172,2022-10-29 22:17:52.145990,0 days 01:46:36.569818,38.0,auto,9.0,7.0,239.0,COMPLETE
44027.0,year,1.0,82.0,0.0102803712911065,2022-10-29 22:17:52.147057,2022-10-30 00:10:11.416882,0 days 01:52:19.269825,40.0,auto,8.0,7.0,249.0,COMPLETE
44027.0,year,1.0,83.0,0.0102847233741623,2022-10-30 00:10:11.417917,2022-10-30 01:44:09.222263,0 days 01:33:57.804346,47.0,auto,8.0,7.0,208.0,COMPLETE
44027.0,year,1.0,84.0,0.0102815322418216,2022-10-30 01:44:09.223356,2022-10-30 03:36:55.495054,0 days 01:52:46.271698,40.0,auto,8.0,10.0,250.0,COMPLETE
44027.0,year,1.0,85.0,0.0104860139848517,2022-10-30 03:36:55.496160,2022-10-30 05:10:39.038295,0 days 01:33:43.542135,43.0,auto,1.0,8.0,178.0,COMPLETE
44027.0,year,1.0,86.0,0.0103524773380213,2022-10-30 05:10:39.039410,2022-10-30 06:48:49.352599,0 days 01:38:10.313189,18.0,auto,7.0,9.0,226.0,COMPLETE
44027.0,year,1.0,87.0,0.0102898554200771,2022-10-30 06:48:49.353676,2022-10-30 08:19:55.035915,0 days 01:31:05.682239,34.0,auto,8.0,6.0,202.0,COMPLETE
44027.0,year,1.0,88.0,0.0102876523505175,2022-10-30 08:19:55.037049,2022-10-30 09:43:29.514052,0 days 01:23:34.477003,36.0,auto,8.0,7.0,185.0,COMPLETE
44027.0,year,1.0,89.0,0.0102807325662328,2022-10-30 09:43:29.515116,2022-10-30 11:16:48.514784,0 days 01:33:18.999668,45.0,auto,9.0,8.0,209.0,COMPLETE
44027.0,year,1.0,90.0,0.0107678045426438,2022-10-30 11:16:48.515828,2022-10-30 11:23:47.958275,0 days 00:06:59.442447,45.0,sqrt,9.0,9.0,146.0,COMPLETE
44027.0,year,1.0,91.0,0.0102872399848335,2022-10-30 11:23:47.959338,2022-10-30 12:58:32.893085,0 days 01:34:44.933747,50.0,auto,9.0,8.0,212.0,COMPLETE
44027.0,year,1.0,92.0,0.0102873407221409,2022-10-30 12:58:32.894199,2022-10-30 14:41:25.361471,0 days 01:42:52.467272,41.0,auto,10.0,7.0,233.0,COMPLETE
