dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_gp_layers,params_n_gp_out,params_batch_size,params_lr,params_num_inducing,params_num_samples,params_kernel_type,user_attrs_MAX_EPOCHS,state,system_attrs_fixed_params
216.0,k2204_PPV,1.0,21.0,0.0002301709318999,2022-10-24 18:04:16.675645,2022-10-24 18:05:28.231734,0 days 00:01:11.556089,1.0,3.0,256.0,0.013024669290032,69.0,14.0,matern0.5,51.0,COMPLETE,
216.0,k2204_PPV,1.0,22.0,0.0002912700583692,2022-10-24 18:05:28.232239,2022-10-24 18:07:35.586899,0 days 00:02:07.354660,1.0,3.0,256.0,0.004627930442435,72.0,13.0,matern0.5,95.0,COMPLETE,
216.0,k2204_PPV,1.0,23.0,0.0005263214115984,2022-10-24 18:07:35.587450,2022-10-24 18:08:41.944368,0 days 00:01:06.356918,2.0,3.0,256.0,0.0277510720075802,273.0,11.0,matern0.5,23.0,COMPLETE,
216.0,k2204_PPV,1.0,24.0,0.000323590968037,2022-10-24 18:08:41.944897,2022-10-24 18:09:38.272277,0 days 00:00:56.327380,1.0,2.0,256.0,0.0118474416536628,104.0,15.0,matern0.5,39.0,COMPLETE,
216.0,k2204_PPV,1.0,25.0,0.0012482820311561,2022-10-24 18:09:38.272815,2022-10-24 18:10:32.979140,0 days 00:00:54.706325,4.0,4.0,256.0,0.0477951819675862,67.0,12.0,matern0.5,13.0,COMPLETE,
216.0,k2204_PPV,1.0,26.0,0.0004012033168692,2022-10-24 18:10:32.979655,2022-10-24 18:14:29.569362,0 days 00:03:56.589707,2.0,3.0,256.0,0.002841362465927,145.0,9.0,matern0.5,116.0,COMPLETE,
216.0,k2204_PPV,1.0,27.0,0.0008663874759804,2022-10-24 18:14:29.569989,2022-10-24 18:17:07.733649,0 days 00:02:38.163660,3.0,2.0,512.0,0.0057369289498363,194.0,14.0,matern1.5,88.0,COMPLETE,
216.0,k2204_PPV,1.0,28.0,0.0003396666434127,2022-10-24 18:17:07.734200,2022-10-24 18:19:13.178099,0 days 00:02:05.443899,1.0,4.0,256.0,0.0114515343342865,718.0,10.0,matern0.5,38.0,COMPLETE,
216.0,k2204_PPV,1.0,29.0,0.0017122782883234,2022-10-24 18:19:13.178676,2022-10-24 18:23:30.813148,0 days 00:04:17.634472,2.0,1.0,1024.0,0.0007494885973812,264.0,13.0,rbf,300.0,COMPLETE,
216.0,k2204_PPV,1.0,30.0,0.0020004225079901,2022-10-24 18:23:30.813727,2022-10-24 18:23:48.955975,0 days 00:00:18.142248,1.0,3.0,1024.0,0.0250514576571483,190.0,11.0,rbf,26.0,COMPLETE,
216.0,k2204_PPV,1.0,31.0,0.0003062813339056,2022-10-24 18:23:48.956590,2022-10-24 18:25:51.187349,0 days 00:02:02.230759,1.0,3.0,256.0,0.0044723226819009,69.0,13.0,matern0.5,92.0,COMPLETE,
216.0,k2204_PPV,1.0,32.0,0.0004338162834756,2022-10-24 18:25:51.187895,2022-10-24 18:29:03.455998,0 days 00:03:12.268103,1.0,3.0,256.0,0.0020067176781,59.0,12.0,matern0.5,150.0,COMPLETE,
216.0,k2204_PPV,1.0,33.0,0.000325850705849,2022-10-24 18:29:03.456510,2022-10-24 18:30:51.504682,0 days 00:01:48.048172,2.0,4.0,256.0,0.00937267554345,85.0,14.0,matern0.5,52.0,COMPLETE,
216.0,k2204_PPV,1.0,34.0,0.0003038190916413,2022-10-24 18:30:51.505202,2022-10-24 18:32:36.614028,0 days 00:01:45.108826,1.0,2.0,256.0,0.0047009246765032,96.0,15.0,matern0.5,78.0,COMPLETE,
216.0,k2204_PPV,1.0,35.0,0.0008626670023659,2022-10-24 18:32:36.614550,2022-10-24 18:33:30.471786,0 days 00:00:53.857236,2.0,1.0,256.0,0.0217994337321616,124.0,14.0,matern0.5,25.0,COMPLETE,
216.0,k2204_PPV,1.0,36.0,0.0003166675014654,2022-10-24 18:33:30.472321,2022-10-24 18:37:56.862049,0 days 00:04:26.389728,1.0,3.0,256.0,0.0019904362038445,58.0,10.0,matern0.5,210.0,COMPLETE,
