dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_gp_layers,params_n_gp_out,params_batch_size,params_lr,params_num_inducing,params_num_samples,params_kernel_type,user_attrs_MAX_EPOCHS,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_fixed_params
216.0,r1_08_BPV,1.0,21.0,0.0005780783831141,2022-10-27 10:30:15.820543,2022-10-27 10:35:57.163199,0 days 00:05:41.342656,3.0,3.0,2048.0,0.0217840232039589,222.0,5.0,rbf,,PRUNED,0.000584807829,0.0005780783831141,,,
216.0,r1_08_BPV,1.0,22.0,0.0006016836850903,2022-10-27 10:35:57.163622,2022-10-27 10:38:44.433310,0 days 00:02:47.269688,1.0,1.0,1024.0,0.0011336332782846,78.0,13.0,rbf,,PRUNED,0.0006016836850903,,,,
216.0,r1_08_BPV,1.0,23.0,0.0005641864845529,2022-10-27 10:38:44.433773,2022-10-27 10:56:48.644072,0 days 00:18:04.210299,4.0,1.0,1024.0,0.0088482494850513,223.0,3.0,rbf,21.0,COMPLETE,0.0005774894962087,,,,
216.0,r1_08_BPV,1.0,24.0,0.0005811357405036,2022-10-27 10:56:48.644618,2022-10-27 11:01:29.859267,0 days 00:04:41.214649,2.0,2.0,1024.0,0.0178443164162762,145.0,7.0,rbf,,PRUNED,0.0005766791291534,0.0005811357405036,,,
216.0,r1_08_BPV,1.0,25.0,0.0006159475888125,2022-10-27 11:01:29.859728,2022-10-27 11:03:49.635994,0 days 00:02:19.776266,3.0,3.0,2048.0,0.0177358549110681,332.0,2.0,rbf,,PRUNED,0.0006159475888125,,,,
216.0,r1_08_BPV,1.0,26.0,0.0005787061527371,2022-10-27 11:03:49.636394,2022-10-27 11:05:50.764258,0 days 00:02:01.127864,1.0,1.0,2048.0,0.0058016014734745,70.0,4.0,matern0.5,,PRUNED,0.0005787061527371,,,,
216.0,r1_08_BPV,1.0,27.0,0.0006127608940005,2022-10-27 11:05:50.764652,2022-10-27 11:10:08.836707,0 days 00:04:18.072055,1.0,1.0,1024.0,0.0008739030933179,484.0,5.0,matern1.5,,PRUNED,0.0006127608940005,,,,
216.0,r1_08_BPV,1.0,28.0,0.0005621493910439,2022-10-27 11:10:08.837144,2022-10-27 11:31:16.022249,0 days 00:21:07.185105,4.0,2.0,1024.0,0.0018940765856492,350.0,4.0,rbf,15.0,COMPLETE,0.0005986841861158,0.0005653310217894,,,
216.0,r1_08_BPV,1.0,29.0,0.0005714453291147,2022-10-27 11:31:16.022808,2022-10-27 11:37:30.294844,0 days 00:06:14.272036,2.0,1.0,1024.0,0.0328518486083919,110.0,7.0,matern0.5,9.0,COMPLETE,,,,,
216.0,r1_08_BPV,1.0,30.0,0.0005810374277643,2022-10-27 11:37:30.295487,2022-10-27 11:46:06.915699,0 days 00:08:36.620212,4.0,4.0,2048.0,0.010482080851206,98.0,12.0,rbf,,PRUNED,0.0005810374277643,,,,
216.0,r1_08_BPV,1.0,31.0,0.0006704432889819,2022-10-27 11:46:06.916080,2022-10-27 11:53:58.072044,0 days 00:07:51.155964,4.0,4.0,1024.0,0.0018140132014291,424.0,4.0,matern1.5,,PRUNED,0.0006704432889819,,,,
216.0,r1_08_BPV,1.0,32.0,0.0007953628664836,2022-10-27 11:53:58.072522,2022-10-27 11:55:53.402178,0 days 00:01:55.329656,1.0,1.0,2048.0,0.0009300041268939,147.0,3.0,rbf,,PRUNED,0.0007953628664836,,,,
216.0,r1_08_BPV,1.0,33.0,0.0005705730291083,2022-10-27 11:55:53.402603,2022-10-27 12:17:10.333096,0 days 00:21:16.930493,3.0,2.0,1024.0,0.0020451812543574,629.0,10.0,rbf,,PRUNED,0.0005921020638197,0.0005705730291083,,,
216.0,r1_08_BPV,1.0,34.0,0.0005785354878753,2022-10-27 12:17:10.333591,2022-10-27 12:22:01.505120,0 days 00:04:51.171529,2.0,1.0,2048.0,0.024801060739956,50.0,8.0,matern1.5,10.0,COMPLETE,,,,,
216.0,r1_08_BPV,1.0,35.0,0.0193977281451225,2022-10-27 12:22:01.505681,2022-10-27 12:32:50.228760,0 days 00:10:48.723079,2.0,4.0,512.0,0.0001051951573803,338.0,10.0,matern0.5,2.0,COMPLETE,,,,,
216.0,r1_08_BPV,1.0,36.0,0.0006662115338258,2022-10-27 12:32:50.229301,2022-10-27 12:38:06.409311,0 days 00:05:16.180010,4.0,3.0,1024.0,0.009741134215605,314.0,6.0,rbf,,PRUNED,0.0006662115338258,,,,
216.0,r1_08_BPV,1.0,37.0,0.0005701445043087,2022-10-27 12:38:06.409760,2022-10-27 12:44:49.993609,0 days 00:06:43.583849,4.0,2.0,1024.0,0.0253441803954058,231.0,8.0,rbf,2.0,COMPLETE,,,,,
216.0,r1_08_BPV,1.0,38.0,0.0005616964772343,2022-10-27 12:44:49.994200,2022-10-27 13:01:39.441654,0 days 00:16:49.447454,1.0,1.0,1024.0,0.0006052626342024,79.0,10.0,matern1.5,50.0,COMPLETE,0.0005777826881967,,,,
216.0,r1_08_BPV,1.0,39.0,0.0005681246402673,2022-10-27 13:01:39.442265,2022-10-27 13:06:38.044662,0 days 00:04:58.602397,2.0,2.0,1024.0,0.0019726601615043,140.0,4.0,matern1.5,,PRUNED,0.0006052327807992,0.0005681246402673,,,
216.0,r1_08_BPV,1.0,40.0,0.019769724458456,2022-10-27 13:06:38.045064,2022-10-27 13:10:39.803135,0 days 00:04:01.758071,3.0,2.0,1024.0,0.0002331670055473,177.0,2.0,rbf,2.0,COMPLETE,,,,,
216.0,r1_08_BPV,1.0,41.0,0.0006830031052231,2022-10-27 13:10:39.803795,2022-10-27 13:13:27.185348,0 days 00:02:47.381553,3.0,2.0,1024.0,0.0522394882144797,285.0,3.0,rbf,,PRUNED,0.0006830031052231,,,,
216.0,r1_08_BPV,1.0,42.0,0.0005722842179238,2022-10-27 13:13:27.185778,2022-10-27 13:25:13.434710,0 days 00:11:46.248932,4.0,3.0,2048.0,0.0307074912115706,433.0,3.0,rbf,5.0,COMPLETE,0.000587235786952,,,,
216.0,r1_08_BPV,1.0,43.0,0.0007484760135412,2022-10-27 13:25:13.435295,2022-10-27 13:41:54.504380,0 days 00:16:41.069085,1.0,1.0,512.0,0.0001313085089427,272.0,12.0,matern0.5,,PRUNED,0.0007484760135412,,,,
216.0,r1_08_BPV,1.0,44.0,0.0006110250251367,2022-10-27 13:41:54.504780,2022-10-27 13:44:53.397478,0 days 00:02:58.892698,2.0,2.0,512.0,0.011150938627117,179.0,2.0,rbf,,PRUNED,0.0006110250251367,,,,
216.0,r1_08_BPV,1.0,45.0,0.0006215816829353,2022-10-27 13:44:53.398054,2022-10-27 13:48:53.863296,0 days 00:04:00.465242,3.0,4.0,1024.0,0.0987377272491853,266.0,6.0,rbf,,PRUNED,0.0006215816829353,,,,
216.0,r1_08_BPV,1.0,46.0,0.0006508338847197,2022-10-27 13:48:53.863755,2022-10-27 13:50:52.801178,0 days 00:01:58.937423,4.0,3.0,2048.0,0.0356664271865053,122.0,3.0,rbf,,PRUNED,0.0006508338847197,,,,
216.0,r1_08_BPV,1.0,47.0,0.0005735561717301,2022-10-27 13:50:52.801564,2022-10-27 13:59:08.350214,0 days 00:08:15.548650,1.0,1.0,512.0,0.0147997937295369,318.0,9.0,matern1.5,8.0,COMPLETE,,,,,
216.0,r1_08_BPV,1.0,48.0,0.0005766517715528,2022-10-27 13:59:08.350801,2022-10-27 14:04:10.486259,0 days 00:05:02.135458,3.0,1.0,2048.0,0.0868546767294721,151.0,10.0,matern1.5,5.0,COMPLETE,,,,,
216.0,r1_08_BPV,1.0,49.0,0.0006984059582464,2022-10-27 14:04:10.486877,2022-10-27 14:06:40.489582,0 days 00:02:30.002705,2.0,2.0,1024.0,0.0009333188691699,364.0,5.0,rbf,,PRUNED,0.0006984059582464,,,,
216.0,r1_08_BPV,1.0,50.0,0.0005677386070601,2022-10-27 14:06:40.490077,2022-10-27 14:13:42.651272,0 days 00:07:02.161195,2.0,3.0,1024.0,0.0161986020093926,338.0,10.0,rbf,3.0,COMPLETE,,,,,
216.0,r1_08_BPV,1.0,51.0,0.0006776222144253,2022-10-27 14:13:42.651850,2022-10-27 14:19:11.301750,0 days 00:05:28.649900,3.0,1.0,512.0,0.0028790800119569,523.0,3.0,rbf,,PRUNED,0.0006776222144253,,,,
216.0,r1_08_BPV,1.0,52.0,0.0005649863160215,2022-10-27 14:19:11.302288,2022-10-27 14:32:14.811283,0 days 00:13:03.508995,1.0,3.0,512.0,0.0005219297434745,56.0,3.0,matern1.5,21.0,COMPLETE,,,,,
216.0,r1_08_BPV,1.0,53.0,0.0005711212870664,2022-10-27 14:32:14.811897,2022-10-27 14:36:00.769731,0 days 00:03:45.957834,1.0,3.0,1024.0,0.0106337520915656,204.0,8.0,matern1.5,,PRUNED,0.0005684328498318,0.0005711212870664,,,
216.0,r1_08_BPV,1.0,54.0,0.0007798701408319,2022-10-27 14:36:00.770156,2022-10-27 14:36:51.524332,0 days 00:00:50.754176,1.0,2.0,2048.0,0.0012783488176474,247.0,2.0,rbf,,PRUNED,0.0007798701408319,,,,
216.0,r1_08_BPV,1.0,55.0,0.0197906326502561,2022-10-27 14:36:51.524720,2022-10-27 14:40:07.564858,0 days 00:03:16.040138,4.0,2.0,1024.0,0.0072836123878763,167.0,5.0,matern0.5,,PRUNED,0.0197906326502561,,,,
216.0,r1_08_BPV,1.0,56.0,0.0005943367723375,2022-10-27 14:40:07.565292,2022-10-27 14:48:03.450544,0 days 00:07:55.885252,3.0,1.0,1024.0,0.094649984338248,663.0,7.0,rbf,1.0,COMPLETE,,,,,
216.0,r1_08_BPV,1.0,57.0,0.0006210913415998,2022-10-27 14:48:03.451127,2022-10-27 14:53:22.848939,0 days 00:05:19.397812,4.0,4.0,2048.0,0.0308209894184326,407.0,3.0,rbf,,PRUNED,0.0006210913415998,,,,
216.0,r1_08_BPV,1.0,58.0,0.0197898726910352,2022-10-27 14:53:22.849338,2022-10-27 14:58:14.192037,0 days 00:04:51.342699,3.0,1.0,2048.0,0.0045745887925696,50.0,13.0,matern1.5,5.0,COMPLETE,,,,,
216.0,r1_08_BPV,1.0,59.0,0.0005909281317144,2022-10-27 14:58:14.192629,2022-10-27 15:09:08.807868,0 days 00:10:54.615239,4.0,3.0,2048.0,0.0607646403691786,508.0,2.0,rbf,,PRUNED,0.0005883177509531,0.0005909281317144,,,
216.0,r1_08_BPV,1.0,60.0,0.0005799035425297,2022-10-27 15:09:08.808260,2022-10-27 15:20:51.403714,0 days 00:11:42.595454,3.0,3.0,512.0,0.0020997573240699,128.0,10.0,matern1.5,5.0,COMPLETE,,,,,
216.0,r1_08_BPV,1.0,61.0,0.0005633501568809,2022-10-27 15:20:51.404303,2022-10-27 15:29:22.808053,0 days 00:08:31.403750,3.0,3.0,2048.0,0.0238163176949479,296.0,3.0,rbf,10.0,COMPLETE,0.0005651743849739,0.0005633501568809,,,
