dataset_id,dataset_name,outer_run,n_layers,n_out,batch_size,lr,num_inducing,num_samples,kernel_type,MAX_EPOCHS,mse,mae,max_absolute_error,nll_score,train_time
42225.0,diamonds,1.0,1.0,3.0,512.0,0.0014692579122949,624.0,9.0,matern1.5,166.0,308664.65625,298.6106872558594,6101.091796875,6.828398616994191,1163.958328962326
42225.0,diamonds,2.0,2.0,3.0,256.0,0.0019596682543218,514.0,4.0,matern1.5,98.0,304443.78125,299.8423767089844,5098.9072265625,6.826114894528066,1581.1024367809296
42225.0,diamonds,3.0,1.0,3.0,256.0,0.0016205337848999,722.0,6.0,matern1.5,123.0,316624.71875,299.4355163574219,6514.6640625,6.837053697617227,1658.0512871742249
42225.0,diamonds,4.0,1.0,2.0,512.0,0.0030750567780828,581.0,15.0,matern1.5,87.0,304119.40625,309.5800476074219,5131.2626953125,6.83514061509219,695.6371994018555
42225.0,diamonds,5.0,2.0,4.0,512.0,0.008532716484137594,574.0,12.0,matern0.5,102.0,295596.9375,295.4830322265625,6672.8681640625,6.8330540954310095,1885.351257801056
