dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_gp_layers,params_n_gp_out,params_batch_size,params_lr,params_num_inducing,params_num_samples,params_kernel_type,user_attrs_MAX_EPOCHS,state,system_attrs_fixed_params
287.0,wine_quality,1.0,21.0,0.0152321644127368,2022-10-25 18:18:37.558119,2022-10-25 18:19:39.840831,0 days 00:01:02.282712,1.0,1.0,256.0,0.0119723620132911,561.0,13.0,rbf,24.0,COMPLETE,
287.0,wine_quality,1.0,22.0,0.0211590379476547,2022-10-25 18:19:39.841362,2022-10-25 18:20:07.761166,0 days 00:00:27.919804,1.0,1.0,256.0,0.0978545624583415,937.0,14.0,rbf,3.0,COMPLETE,
287.0,wine_quality,1.0,23.0,0.0152158085256814,2022-10-25 18:20:07.761687,2022-10-25 18:21:33.891954,0 days 00:01:26.130267,1.0,4.0,256.0,0.0140798046558174,580.0,11.0,rbf,29.0,COMPLETE,
287.0,wine_quality,1.0,24.0,0.0152346990071237,2022-10-25 18:21:33.892450,2022-10-25 18:22:26.713658,0 days 00:00:52.821208,1.0,4.0,256.0,0.0182150294045154,608.0,8.0,rbf,17.0,COMPLETE,
287.0,wine_quality,1.0,25.0,0.0151824811473488,2022-10-25 18:22:26.714188,2022-10-25 18:23:28.696094,0 days 00:01:01.981906,1.0,3.0,256.0,0.030584902428693,615.0,10.0,rbf,20.0,COMPLETE,
287.0,wine_quality,1.0,26.0,0.0159514853730797,2022-10-25 18:23:28.696637,2022-10-25 18:25:05.353876,0 days 00:01:36.657239,2.0,4.0,256.0,0.0397966707004037,754.0,10.0,rbf,9.0,COMPLETE,
287.0,wine_quality,1.0,27.0,0.0209363028407096,2022-10-25 18:25:05.354405,2022-10-25 18:27:44.439626,0 days 00:02:39.085221,4.0,3.0,512.0,0.0337295404505664,989.0,9.0,matern1.5,7.0,COMPLETE,
287.0,wine_quality,1.0,28.0,0.0152674680575728,2022-10-25 18:27:44.440214,2022-10-25 18:29:17.584167,0 days 00:01:33.143953,1.0,4.0,256.0,0.0050527080076804,447.0,11.0,rbf,41.0,COMPLETE,
287.0,wine_quality,1.0,29.0,0.0152404131367802,2022-10-25 18:29:17.584692,2022-10-25 18:30:42.048282,0 days 00:01:24.463590,2.0,3.0,256.0,0.0262019155065486,343.0,11.0,rbf,25.0,COMPLETE,
287.0,wine_quality,1.0,30.0,0.0186119368299841,2022-10-25 18:30:42.048800,2022-10-25 18:35:41.848328,0 days 00:04:59.799528,4.0,4.0,256.0,0.0693326759099954,746.0,7.0,rbf,18.0,COMPLETE,
287.0,wine_quality,1.0,31.0,0.0148485293611884,2022-10-25 18:35:41.848931,2022-10-25 18:37:28.030834,0 days 00:01:46.181903,1.0,3.0,256.0,0.0124498079459001,559.0,10.0,rbf,41.0,COMPLETE,
287.0,wine_quality,1.0,32.0,0.015214963350445,2022-10-25 18:37:28.031367,2022-10-25 18:38:32.190829,0 days 00:01:04.159462,1.0,3.0,256.0,0.0109954576435066,533.0,9.0,rbf,24.0,COMPLETE,
287.0,wine_quality,1.0,33.0,0.0151926716789603,2022-10-25 18:38:32.191364,2022-10-25 18:39:46.192985,0 days 00:01:14.001621,1.0,3.0,256.0,0.0093446978317399,498.0,9.0,rbf,31.0,COMPLETE,
287.0,wine_quality,1.0,34.0,0.0155129423364996,2022-10-25 18:39:46.193524,2022-10-25 18:41:39.353130,0 days 00:01:53.159606,1.0,3.0,256.0,0.0061647306025542,712.0,10.0,rbf,34.0,COMPLETE,
287.0,wine_quality,1.0,35.0,0.0205902056768536,2022-10-25 18:41:39.353667,2022-10-25 18:42:12.674452,0 days 00:00:33.320785,1.0,2.0,512.0,0.0030630639176283,819.0,8.0,rbf,12.0,COMPLETE,
287.0,wine_quality,1.0,36.0,0.0151126189157366,2022-10-25 18:42:12.675030,2022-10-25 18:42:50.356387,0 days 00:00:37.681357,1.0,3.0,256.0,0.0250814938852609,416.0,10.0,rbf,16.0,COMPLETE,
287.0,wine_quality,1.0,37.0,0.0153160411864519,2022-10-25 18:42:50.356920,2022-10-25 18:44:23.045828,0 days 00:01:32.688908,1.0,3.0,256.0,0.0243290560712419,655.0,10.0,matern1.5,27.0,COMPLETE,
287.0,wine_quality,1.0,38.0,0.0156162241473793,2022-10-25 18:44:23.046366,2022-10-25 18:45:07.838272,0 days 00:00:44.791906,2.0,2.0,256.0,0.0552427262682285,415.0,12.0,rbf,10.0,COMPLETE,
287.0,wine_quality,1.0,39.0,0.0162227544933557,2022-10-25 18:45:07.838865,2022-10-25 18:45:36.753486,0 days 00:00:28.914621,1.0,4.0,256.0,0.0461948441925935,280.0,7.0,rbf,13.0,COMPLETE,
287.0,wine_quality,1.0,40.0,0.0185921061784029,2022-10-25 18:45:36.754070,2022-10-25 18:46:09.006398,0 days 00:00:32.252328,1.0,3.0,512.0,0.0016722671544292,175.0,4.0,matern1.5,29.0,COMPLETE,
287.0,wine_quality,1.0,41.0,0.0150421722792088,2022-10-25 18:46:09.007003,2022-10-25 18:48:06.550831,0 days 00:01:57.543828,1.0,3.0,256.0,0.0064991479019544,507.0,9.0,rbf,52.0,COMPLETE,
287.0,wine_quality,1.0,42.0,0.015097398776561,2022-10-25 18:48:06.551368,2022-10-25 18:49:34.937090,0 days 00:01:28.385722,1.0,3.0,256.0,0.0072157637369537,387.0,10.0,rbf,45.0,COMPLETE,
287.0,wine_quality,1.0,43.0,0.0149753345176577,2022-10-25 18:49:34.937642,2022-10-25 18:51:03.757766,0 days 00:01:28.820124,1.0,4.0,256.0,0.0075545152128158,368.0,9.0,rbf,47.0,COMPLETE,
287.0,wine_quality,1.0,44.0,0.0156573988497257,2022-10-25 18:51:03.758305,2022-10-25 18:51:51.485715,0 days 00:00:47.727410,1.0,4.0,1024.0,0.0073756749366999,371.0,7.0,rbf,57.0,COMPLETE,
287.0,wine_quality,1.0,45.0,0.0154015091247856,2022-10-25 18:51:51.486240,2022-10-25 18:52:42.812043,0 days 00:00:51.325803,1.0,4.0,256.0,0.0072913130785736,262.0,9.0,rbf,28.0,COMPLETE,
287.0,wine_quality,1.0,46.0,0.0152767193503677,2022-10-25 18:52:42.812562,2022-10-25 18:53:21.163874,0 days 00:00:38.351312,1.0,3.0,256.0,0.0211620599423691,320.0,9.0,rbf,19.0,COMPLETE,
287.0,wine_quality,1.0,47.0,0.0209156144410371,2022-10-25 18:53:21.164381,2022-10-25 18:55:10.472064,0 days 00:01:49.307683,3.0,4.0,256.0,0.0031413608838746,377.0,8.0,rbf,19.0,COMPLETE,
287.0,wine_quality,1.0,48.0,0.0157177308574318,2022-10-25 18:55:10.472582,2022-10-25 18:56:07.998610,0 days 00:00:57.526028,1.0,2.0,1024.0,0.0097177062504257,504.0,10.0,rbf,61.0,COMPLETE,
