dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_gp_layers,params_n_gp_out,params_batch_size,params_lr,params_num_inducing,params_num_samples,params_kernel_type,user_attrs_MAX_EPOCHS,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params
44027.0,r1_08_PPV,1.0,20.0,2.616085794215905e-06,2022-11-05 02:36:19.101216,2022-11-05 02:41:32.823984,0 days 00:05:13.722768,1.0,4.0,1024.0,0.0115158028350365,124.0,10.0,rbf,12.0,COMPLETE,,,,
44027.0,r1_08_PPV,1.0,21.0,0.0001301477896049,2022-11-05 02:41:32.824520,2022-11-05 02:46:29.626396,0 days 00:04:56.801876,1.0,1.0,512.0,0.0003549930189559,60.0,10.0,matern1.5,,PRUNED,0.0001301477896049,,,
44027.0,r1_08_PPV,1.0,22.0,1.9229705685575027e-06,2022-11-05 02:46:29.626907,2022-11-05 02:52:57.532543,0 days 00:06:27.905636,1.0,3.0,512.0,0.0077929312021253,437.0,2.0,rbf,,PRUNED,4.792427716893144e-06,1.9229705685575027e-06,,
44027.0,r1_08_PPV,1.0,23.0,7.265656222443795e-06,2022-11-05 02:52:57.533058,2022-11-05 03:26:46.971887,0 days 00:33:49.438829,3.0,3.0,512.0,0.0017322960756657,506.0,13.0,matern1.5,3.0,COMPLETE,,,,
44027.0,r1_08_PPV,1.0,24.0,7.259489939315245e-05,2022-11-05 03:26:46.972421,2022-11-05 03:37:36.744460,0 days 00:10:49.772039,2.0,2.0,512.0,0.0007202127972595,780.0,10.0,rbf,,PRUNED,7.259489939315245e-05,,,
44027.0,r1_08_PPV,1.0,25.0,0.0597969107329845,2022-11-05 03:37:36.744995,2022-11-05 03:41:47.645612,0 days 00:04:10.900617,2.0,1.0,1024.0,0.0001447909617091,134.0,6.0,rbf,,PRUNED,0.0597969107329845,,,
44027.0,r1_08_PPV,1.0,26.0,4.974040621164022e-06,2022-11-05 03:41:47.646063,2022-11-05 03:50:42.208588,0 days 00:08:54.562525,2.0,2.0,512.0,0.0036653621452339,239.0,3.0,matern0.5,,PRUNED,4.974040621164022e-06,,,
44027.0,r1_08_PPV,1.0,27.0,1.4630872101406568e-05,2022-11-05 03:50:42.209101,2022-11-05 03:56:23.735453,0 days 00:05:41.526352,2.0,1.0,1024.0,0.0722900633348893,213.0,13.0,matern1.5,5.0,COMPLETE,,,,
44027.0,r1_08_PPV,1.0,28.0,2.116083578584949e-06,2022-11-05 03:56:23.735998,2022-11-05 04:02:06.144197,0 days 00:05:42.408199,1.0,3.0,512.0,0.0047766454912502,248.0,5.0,rbf,,PRUNED,5.340298685041489e-06,2.116083578584949e-06,,
44027.0,r1_08_PPV,1.0,29.0,3.928851583623327e-06,2022-11-05 04:02:06.144686,2022-11-05 04:05:48.025520,0 days 00:03:41.880834,1.0,1.0,2048.0,0.0101401449061942,61.0,2.0,rbf,16.0,COMPLETE,,,,
44027.0,r1_08_PPV,1.0,30.0,1.699324911896838e-06,2022-11-05 04:05:48.026125,2022-11-05 04:25:21.534910,0 days 00:19:33.508785,1.0,3.0,512.0,0.0063090777640434,713.0,8.0,matern1.5,10.0,COMPLETE,1.699324911896838e-06,,,
44027.0,r1_08_PPV,1.0,31.0,9.166939776150684e-07,2022-11-05 04:25:21.535446,2022-11-05 04:50:08.688534,0 days 00:24:47.153088,1.0,1.0,1024.0,0.002434634530694,478.0,7.0,rbf,53.0,COMPLETE,2.067628884105943e-06,,,
