dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_gp_layers,params_n_gp_out,params_batch_size,params_lr,params_num_inducing,params_num_samples,params_kernel_type,user_attrs_MAX_EPOCHS,state,system_attrs_fixed_params
42225.0,diamonds,1.0,21.0,0.0009634268644731,2022-10-31 14:12:47.826548,2022-10-31 14:19:30.593887,0 days 00:06:42.767339,1.0,2.0,256.0,0.0050344738589822,359.0,4.0,matern1.5,28.0,COMPLETE,
42225.0,diamonds,1.0,22.0,0.0009353990899398,2022-10-31 14:19:30.594525,2022-10-31 14:29:20.820238,0 days 00:09:50.225713,1.0,3.0,256.0,0.0055533470298152,583.0,5.0,matern1.5,31.0,COMPLETE,
42225.0,diamonds,1.0,23.0,0.0009394302323926,2022-10-31 14:29:20.820754,2022-10-31 14:42:24.637014,0 days 00:13:03.816260,1.0,3.0,1024.0,0.0058693850068748,970.0,6.0,matern1.5,74.0,COMPLETE,
42225.0,diamonds,1.0,24.0,0.0012140182661823,2022-10-31 14:42:24.637566,2022-10-31 14:57:25.013309,0 days 00:15:00.375743,4.0,3.0,1024.0,0.0165513444022289,642.0,6.0,matern1.5,24.0,COMPLETE,
42225.0,diamonds,1.0,25.0,0.0010654060170054,2022-10-31 14:57:25.013901,2022-10-31 15:09:26.015137,0 days 00:12:01.001236,1.0,4.0,1024.0,0.001984540083684,397.0,8.0,matern1.5,130.0,COMPLETE,
42225.0,diamonds,1.0,26.0,0.0011796231847256,2022-10-31 15:09:26.015644,2022-10-31 15:39:28.295343,0 days 00:30:02.279699,1.0,3.0,1024.0,0.0005756416322363,594.0,5.0,matern1.5,288.0,COMPLETE,
42225.0,diamonds,1.0,27.0,0.0017383737140335,2022-10-31 15:39:28.295909,2022-10-31 15:42:28.704727,0 days 00:03:00.408818,1.0,4.0,1024.0,0.0362513308251424,797.0,7.0,rbf,16.0,COMPLETE,
42225.0,diamonds,1.0,28.0,0.0464480556547641,2022-10-31 15:42:28.705258,2022-10-31 15:44:20.535683,0 days 00:01:51.830425,4.0,3.0,1024.0,0.0036191074793925,317.0,3.0,matern1.5,3.0,COMPLETE,
42225.0,diamonds,1.0,29.0,0.0010161578538827,2022-10-31 15:44:20.536208,2022-10-31 15:55:37.414425,0 days 00:11:16.878217,2.0,3.0,512.0,0.0165330507140507,558.0,10.0,matern0.5,27.0,COMPLETE,
42225.0,diamonds,1.0,30.0,0.0017234931583516,2022-10-31 15:55:37.414949,2022-10-31 16:03:47.430362,0 days 00:08:10.015413,4.0,4.0,1024.0,0.0074861434648338,173.0,5.0,rbf,45.0,COMPLETE,
42225.0,diamonds,1.0,31.0,0.000962207239354,2022-10-31 16:03:47.430894,2022-10-31 16:16:25.688127,0 days 00:12:38.257233,1.0,2.0,256.0,0.0044837334510905,877.0,3.0,matern1.5,34.0,COMPLETE,
42225.0,diamonds,1.0,32.0,0.0009524138295091,2022-10-31 16:16:25.688690,2022-10-31 16:28:43.860613,0 days 00:12:18.171923,1.0,3.0,256.0,0.0064811609504494,987.0,3.0,matern1.5,27.0,COMPLETE,
42225.0,diamonds,1.0,33.0,0.0009208780538756,2022-10-31 16:28:43.861151,2022-10-31 16:58:46.381456,0 days 00:30:02.520305,1.0,2.0,256.0,0.0014572468418176,698.0,6.0,matern1.5,91.0,COMPLETE,
42225.0,diamonds,1.0,34.0,0.000959030323429,2022-10-31 16:58:46.382038,2022-10-31 17:28:55.676780,0 days 00:30:09.294742,1.0,3.0,512.0,0.0010906109603144,679.0,6.0,matern1.5,153.0,COMPLETE,
42225.0,diamonds,1.0,35.0,0.0456384271383285,2022-10-31 17:28:55.677314,2022-10-31 17:33:05.191147,0 days 00:04:09.513833,2.0,4.0,256.0,0.000637826767108,414.0,6.0,matern1.5,5.0,COMPLETE,
42225.0,diamonds,1.0,36.0,0.0464234687387943,2022-10-31 17:33:05.191684,2022-10-31 17:35:44.122133,0 days 00:02:38.930449,2.0,3.0,1024.0,0.0014489914978959,498.0,7.0,rbf,8.0,COMPLETE,
42225.0,diamonds,1.0,37.0,0.0009575069707352,2022-10-31 17:35:44.122673,2022-10-31 17:53:01.027035,0 days 00:17:16.904362,1.0,2.0,256.0,0.0028134914062573,660.0,9.0,matern1.5,48.0,COMPLETE,
42225.0,diamonds,1.0,38.0,0.0011008647852577,2022-10-31 17:53:01.027576,2022-10-31 18:23:19.520916,0 days 00:30:18.493340,1.0,4.0,256.0,0.0007912965536433,838.0,5.0,matern1.5,72.0,COMPLETE,
