dataset_id,dataset_name,outer_run,max_depth,learning_rate,colsample_bytree,subsample,reg_alpha,reg_lambda,gamma,min_child_weight,n_estimators,mse,mae,max_absolute_error
42225.0,diamonds,1.0,72.0,0.0659978169121921,0.5752758128310969,0.5373599182028586,0.3313808817665947,9.69630432220524e-08,0.0002600000993556,4.811868862630649,266.0,298920.73254289926,275.3318160654308,5257.6044921875
42225.0,diamonds,2.0,49.0,0.0362349055066325,0.5103712225313801,0.7180489774845402,0.4329694178100391,1.1252247383909127e-05,0.0007065245672069,4.537355285051283,562.0,300966.6282632414,277.04572815801373,6201.39453125
42225.0,diamonds,3.0,16.0,0.0786973235894248,0.598784703787128,0.5881304426026104,0.9566552310727616,2.1896846340824152e-08,1.8475163804589632e-08,3.494425737968727,511.0,315999.60906193784,282.60626557052774,8100.3251953125
42225.0,diamonds,4.0,28.0,0.0899671769147809,0.4652822797455014,0.7225225194472786,0.4420740420203201,0.0001107460228811,0.0001527316909759,33.91080685365585,261.0,292805.2806586466,281.53943403199463,8754.90625
42225.0,diamonds,5.0,52.0,0.08941198557353115,0.4830695809933773,0.7959277577568649,0.9913171221732956,1.550791462427729e-06,1.70864101843705e-05,2.4458392916107776,522.0,298428.54621846246,280.42065134356096,8892.3056640625
