dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_max_depth,params_learning_rate,params_colsample_bytree,params_subsample,params_reg_alpha,params_reg_lambda,params_gamma,params_min_child_weight,user_attrs_n_estimators,state
44027.0,r1_08_PPV,1.0,0.0,0.0008560752883358,2022-11-04 17:57:10.104504,2022-11-04 17:57:28.353327,0 days 00:00:18.248823,65.0,0.0782751165140806,0.383380728860567,0.4044191458939352,7.548646554060519,0.0059392462813348,2.4302462408101126,3.955481308503805,108.0,COMPLETE
44027.0,r1_08_PPV,1.0,1.0,0.0104677058303911,2022-11-04 17:57:28.354711,2022-11-04 18:03:49.671735,0 days 00:06:21.317024,41.0,0.0017663672959684,0.278756676082272,0.5042149175352815,0.160196538515395,1.866911820632804e-05,0.0012426788800745,5.042813074131592,2254.0,COMPLETE
44027.0,r1_08_PPV,1.0,2.0,1.3008066744801089e-05,2022-11-04 18:03:49.673326,2022-11-04 18:12:37.037765,0 days 00:08:47.364439,34.0,0.022178825565327,0.5246276589096789,0.4305698935514277,0.0187130441131796,0.2099688270657865,0.0001328137367,2.1065490715571342,1112.0,COMPLETE
44027.0,r1_08_PPV,1.0,3.0,5.1913013266797806e-05,2022-11-04 18:12:37.040527,2022-11-04 18:35:25.565059,0 days 00:22:48.524532,6.0,0.0012536061448336,0.4907926440884075,0.6314499959485785,0.2834689610924821,0.0001888475960941,0.0337303159240144,11.47077437416246,7011.0,COMPLETE
44027.0,r1_08_PPV,1.0,4.0,2.531582515939118e-06,2022-11-04 18:35:25.567649,2022-11-04 18:38:53.453422,0 days 00:03:27.885773,22.0,0.0596972760745964,0.4151666166112189,0.7673259115443917,0.0117577052882921,1.828742173391812e-06,4.142356104273677e-07,8.936217342416937,684.0,COMPLETE
44027.0,r1_08_PPV,1.0,5.0,2.308991617274293e-06,2022-11-04 18:38:53.455550,2022-11-04 18:41:30.241241,0 days 00:02:36.785691,48.0,0.0646903655741345,0.3264225693475142,0.4094877294058475,0.0184698106289309,0.040828637494353,1.006123377310206e-06,8.3222647998252,888.0,COMPLETE
44027.0,r1_08_PPV,1.0,6.0,0.251217,2022-11-04 18:41:30.243571,2022-11-04 18:41:30.694498,0 days 00:00:00.450927,47.0,0.0049419258303721,0.4632800997593511,0.5859473384680516,2.7451810584784275,8.11611279346745e-06,0.1347153506474221,18.93806147577948,,PRUNED
44027.0,r1_08_PPV,1.0,7.0,0.250667,2022-11-04 18:41:30.694893,2022-11-04 18:41:31.180930,0 days 00:00:00.486037,10.0,0.0027914033989279,0.5741813844107889,0.6017634712718615,1.710826895951604,1.5853751751320248e-06,2.160536769694738e-06,14.356976748454152,,PRUNED
44027.0,r1_08_PPV,1.0,8.0,5.160033116186727e-06,2022-11-04 18:41:31.181307,2022-11-04 18:44:28.748113,0 days 00:02:57.566806,69.0,0.0487297261245077,0.5026894941234504,0.44310146935168,0.8869047402189435,0.0062702958716934,4.305430100931566e-06,22.78851285627917,691.0,COMPLETE
44027.0,r1_08_PPV,1.0,9.0,0.251331,2022-11-04 18:44:28.750616,2022-11-04 18:44:29.149745,0 days 00:00:00.399129,53.0,0.0011655720706366,0.3644280132300304,0.5672019437846192,0.568372936998473,0.0009935612884931,1.6967770579596283e-08,3.330758597388608,,PRUNED
