dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_lr,params_batch_size,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params,system_attrs_completed_rung_3
44027.0,year,1.0,28.0,200.70620727539065,2022-11-04 02:46:07.473772,2022-11-04 03:26:07.938560,0 days 00:40:00.464788,538.0,4.0,0.0002114402575467,2048.0,COMPLETE,714.3984985351562,,,,
44027.0,year,1.0,29.0,764688.4375,2022-11-04 03:26:07.939248,2022-11-04 03:27:51.779667,0 days 00:01:43.840419,197.0,4.0,0.0332362901355204,8124.0,COMPLETE,,,,,
44027.0,year,1.0,30.0,703485.8125,2022-11-04 03:27:51.780417,2022-11-04 03:29:21.171295,0 days 00:01:29.390878,416.0,3.0,0.0244179078415183,8124.0,PRUNED,703485.8125,,,,
44027.0,year,1.0,31.0,523140.8125,2022-11-04 03:29:21.171654,2022-11-04 03:30:56.318775,0 days 00:01:35.147121,156.0,2.0,0.0030094440989252,512.0,PRUNED,523140.8125,,,,
44027.0,year,1.0,32.0,216557.359375,2022-11-04 03:30:56.319114,2022-11-04 03:36:47.889049,0 days 00:05:51.569935,802.0,5.0,0.0002444959090051,512.0,PRUNED,304046.0625,216557.359375,,,
44027.0,year,1.0,33.0,132.86988830566406,2022-11-04 03:36:47.889405,2022-11-04 03:40:39.071644,0 days 00:03:51.182239,400.0,3.0,0.0340085432261752,512.0,COMPLETE,154.0755157470703,,,,
44027.0,year,1.0,34.0,138919.8125,2022-11-04 03:40:39.072419,2022-11-04 03:45:00.882126,0 days 00:04:21.809707,798.0,4.0,0.0037795596966524,1024.0,PRUNED,189043.140625,138919.8125,,,
44027.0,year,1.0,35.0,3982259.0,2022-11-04 03:45:00.882588,2022-11-04 03:46:28.440703,0 days 00:01:27.558115,153.0,2.0,0.0002658891647867,8124.0,PRUNED,3982259.0,,,,
44027.0,year,1.0,36.0,115.0536651611328,2022-11-04 03:46:28.441054,2022-11-04 04:11:29.833162,0 days 00:25:01.392108,159.0,6.0,0.000281415441714,1024.0,COMPLETE,186171.328125,,,,
44027.0,year,1.0,37.0,201110.90625,2022-11-04 04:11:29.833899,2022-11-04 04:16:03.707282,0 days 00:04:33.873383,659.0,5.0,0.0015060275905801,1024.0,PRUNED,245716.25,201110.90625,,,
44027.0,year,1.0,38.0,238536.109375,2022-11-04 04:16:03.707628,2022-11-04 04:19:58.436219,0 days 00:03:54.728591,265.0,3.0,0.0103341802889023,4096.0,PRUNED,238536.109375,,,,
44027.0,year,1.0,39.0,249178.125,2022-11-04 04:19:58.436561,2022-11-04 04:23:49.330129,0 days 00:03:50.893568,597.0,2.0,0.0221999091200109,4096.0,PRUNED,249178.125,,,,
44027.0,year,1.0,40.0,277696.0,2022-11-04 04:23:49.330481,2022-11-04 04:25:29.888857,0 days 00:01:40.558376,459.0,5.0,0.0018330057378209,1024.0,PRUNED,277696.0,,,,
44027.0,year,1.0,41.0,484497.1875,2022-11-04 04:25:29.889158,2022-11-04 04:27:15.613189,0 days 00:01:45.724031,874.0,5.0,0.0170169742653156,1024.0,PRUNED,484497.1875,,,,
44027.0,year,1.0,42.0,157680.296875,2022-11-04 04:27:15.613500,2022-11-04 04:31:21.358185,0 days 00:04:05.744685,23.0,5.0,0.047313598724794,2048.0,PRUNED,157680.296875,,,,
44027.0,year,1.0,43.0,241176.4375,2022-11-04 04:31:21.358514,2022-11-04 04:36:15.279339,0 days 00:04:53.920825,735.0,6.0,0.0036242715596821,1024.0,PRUNED,241176.4375,,,,
44027.0,year,1.0,44.0,408257.8125,2022-11-04 04:36:15.279679,2022-11-04 04:40:25.057406,0 days 00:04:09.777727,810.0,5.0,0.00011198955958,2048.0,COMPLETE,,,,,
44027.0,year,1.0,45.0,2826275.0,2022-11-04 04:40:25.058163,2022-11-04 04:44:47.204086,0 days 00:04:22.145923,986.0,5.0,8.376753771946296e-05,8124.0,PRUNED,2826275.0,,,,
44027.0,year,1.0,46.0,270.3785400390625,2022-11-04 04:44:47.204437,2022-11-04 04:51:18.266595,0 days 00:06:31.062158,1022.0,4.0,0.0937864974782699,512.0,COMPLETE,1311.5421142578125,,,,
44027.0,year,1.0,47.0,3701225.5,2022-11-04 04:51:18.267362,2022-11-04 05:02:28.633262,0 days 00:11:10.365900,988.0,2.0,6.392794163600967e-05,4096.0,PRUNED,3701225.5,,,,
44027.0,year,1.0,48.0,3772273.25,2022-11-04 05:02:28.633605,2022-11-04 05:04:02.354896,0 days 00:01:33.721291,727.0,4.0,9.617895459062836e-05,4096.0,PRUNED,3772273.25,,,,
44027.0,year,1.0,49.0,176252.984375,2022-11-04 05:04:02.355232,2022-11-04 05:08:48.322679,0 days 00:04:45.967447,927.0,5.0,0.004899739088274,1024.0,PRUNED,252028.0625,176252.984375,,,
44027.0,year,1.0,50.0,452518.5,2022-11-04 05:08:48.322999,2022-11-04 05:10:35.418573,0 days 00:01:47.095574,498.0,3.0,0.0005476279163482,512.0,PRUNED,452518.5,,,,
44027.0,year,1.0,51.0,441635.65625,2022-11-04 05:10:35.418910,2022-11-04 05:16:50.449429,0 days 00:06:15.030519,704.0,6.0,8.525331356992948e-05,4096.0,COMPLETE,,,,,
44027.0,year,1.0,52.0,426563.40625,2022-11-04 05:16:50.450186,2022-11-04 05:18:27.465758,0 days 00:01:37.015572,757.0,2.0,0.0018695274396197,512.0,PRUNED,426563.40625,,,,
44027.0,year,1.0,53.0,84.00888061523438,2022-11-04 05:18:27.466106,2022-11-04 05:31:51.897452,0 days 00:13:24.431346,825.0,3.0,0.0020726298816832,512.0,COMPLETE,41028.83984375,,,,
44027.0,year,1.0,54.0,113.41329956054688,2022-11-04 05:31:51.898087,2022-11-04 05:36:32.892187,0 days 00:04:40.994100,230.0,3.0,0.0436170040804094,1024.0,COMPLETE,93413.4296875,121.98368072509766,,,
44027.0,year,1.0,55.0,88.1182861328125,2022-11-04 05:36:32.892846,2022-11-04 05:52:32.056672,0 days 00:15:59.163826,730.0,5.0,0.0021295038063293,512.0,COMPLETE,119661.28125,,,,
44027.0,year,1.0,56.0,3985076.25,2022-11-04 05:52:32.057339,2022-11-04 05:53:58.571423,0 days 00:01:26.514084,551.0,2.0,2.5564962404733345e-05,2048.0,PRUNED,3985076.25,,,,
44027.0,year,1.0,57.0,533575.375,2022-11-04 05:53:58.571751,2022-11-04 05:55:34.398106,0 days 00:01:35.826355,996.0,4.0,0.007854036910556,8124.0,PRUNED,533575.375,,,,
44027.0,year,1.0,58.0,3992304.75,2022-11-04 05:55:34.398477,2022-11-04 06:06:36.576227,0 days 00:11:02.177750,32.0,2.0,1.0259941908316676e-05,4096.0,PRUNED,3992304.75,,,,
44027.0,year,1.0,59.0,137294.53125,2022-11-04 06:06:36.576573,2022-11-04 06:12:18.025095,0 days 00:05:41.448522,601.0,5.0,0.0017050080594083,512.0,PRUNED,137294.53125,,,,
44027.0,year,1.0,60.0,145.83401489257812,2022-11-04 06:12:18.025510,2022-11-04 06:17:13.028275,0 days 00:04:55.002765,186.0,3.0,0.0438338337324145,1024.0,COMPLETE,175706.6875,246.1150817871093,,,
44027.0,year,1.0,61.0,17081.53515625,2022-11-04 06:17:13.028926,2022-11-04 06:20:55.885346,0 days 00:03:42.856420,63.0,2.0,0.0798082404766668,1024.0,PRUNED,178914.46875,17081.53515625,,,
44027.0,year,1.0,62.0,168.427978515625,2022-11-04 06:20:55.885721,2022-11-04 06:27:20.594275,0 days 00:06:24.708554,397.0,5.0,0.0400129064775735,1024.0,COMPLETE,,,,,
44027.0,year,1.0,63.0,446463.09375,2022-11-04 06:27:20.594959,2022-11-04 06:38:40.442598,0 days 00:11:19.847639,691.0,2.0,0.0038282624855934,8124.0,PRUNED,446463.09375,,,,
44027.0,year,1.0,64.0,3887790.75,2022-11-04 06:38:40.442948,2022-11-04 06:40:09.698050,0 days 00:01:29.255102,292.0,3.0,0.0001072224531299,2048.0,PRUNED,3887790.75,,,,
44027.0,year,1.0,65.0,135329.09375,2022-11-04 06:40:09.698414,2022-11-04 06:43:53.759389,0 days 00:03:44.060975,194.0,2.0,0.0214841472164989,1024.0,PRUNED,249404.671875,135329.09375,,,
44027.0,year,1.0,66.0,3517144.75,2022-11-04 06:43:53.759750,2022-11-04 06:48:00.704088,0 days 00:04:06.944338,640.0,4.0,0.000117901213866,8124.0,PRUNED,3517144.75,,,,
