dataset_name,outer_run,n_max,n_layers,n_out,lr,batch_size,mse,mae,max_absolute_error,nll_score,train_time
r1_08_PPV,1,40,5,,0.000193,512,9.302035323344173e-06,0.0024499434512108,0.0410957336425781,-4.491125583648682,11461.099616527556
r1_08_BPV,4,695,5,,6.569457611467608e-05,512,4.0241138776764274e-05,0.0036799958907067776,0.7298469543457031,-4.335400104522705,15708.77572631836
