dataset_id,dataset_name,outer_run,n_max,n_layers,lr,batch_size,mse,mae,max_absolute_error,nll_score,train_time
287.0,k2204_BPV,1.0,227.0,3.0,1.9817764794875383e-05,512.0,4.0206830931310833e-07,0.0004900330095551,0.0026324391365051,-6.090969085693359,119.36614561080933
287.0,k2204_BPV,2.0,304.0,3.0,1.4649677859677037e-05,1024.0,5.542053713725181e-07,0.0005495866644196,0.0028510093688964,-5.459219455718994,135.1412971019745
287.0,k2204_BPV,3.0,393.0,3.0,1.0005655506338786e-05,512.0,3.67238612852816e-07,0.0004493099695537,0.0028272271156311,-5.682778358459473,113.3099536895752
287.0,k2204_BPV,4.0,542.0,4.0,1.0063289983667104e-05,512.0,4.987792863175855e-07,0.000532959587872,0.0023394227027893,-5.326325416564941,61.54665637016296
287.0,k2204_BPV,5.0,348.0,3.0,1.0227878320602418e-05,512.0,4.3031579366470396e-07,0.0005407958524301648,0.0019136667251586914,-6.129613399505615,163.01764178276062
