dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_lr,params_batch_size,state,system_attrs_fixed_params
287.0,k2204_BPV,1.0,25.0,0.0327790528535842,2022-10-21 10:33:04.072289,2022-10-21 10:33:43.685196,0 days 00:00:39.612907,613.0,5.0,6.662337344495031e-05,4096.0,COMPLETE,
287.0,k2204_BPV,1.0,26.0,0.0004198192618787,2022-10-21 10:33:43.685748,2022-10-21 10:36:43.728690,0 days 00:03:00.042942,242.0,6.0,2.155548836128448e-05,1024.0,COMPLETE,
287.0,k2204_BPV,1.0,27.0,1.986510687856935e-05,2022-10-21 10:36:43.729154,2022-10-21 10:37:21.702157,0 days 00:00:37.973003,123.0,3.0,0.0004779721843696,1024.0,COMPLETE,
287.0,k2204_BPV,1.0,28.0,0.0078120790421962,2022-10-21 10:37:21.702637,2022-10-21 10:37:40.161450,0 days 00:00:18.458813,662.0,3.0,0.0022932124930487,2048.0,COMPLETE,
287.0,k2204_BPV,1.0,29.0,0.0004299326974432,2022-10-21 10:37:40.161966,2022-10-21 10:37:53.286854,0 days 00:00:13.124888,101.0,2.0,0.0097033557629206,512.0,COMPLETE,
287.0,k2204_BPV,1.0,30.0,0.0378237441182136,2022-10-21 10:37:53.287389,2022-10-21 10:38:17.688871,0 days 00:00:24.401482,327.0,4.0,0.0001970681827226,8124.0,COMPLETE,
287.0,k2204_BPV,1.0,31.0,0.000950826506596,2022-10-21 10:38:17.689421,2022-10-21 10:38:51.981218,0 days 00:00:34.291797,235.0,3.0,0.0005958237758373,2048.0,COMPLETE,
287.0,k2204_BPV,1.0,32.0,0.0001579832751303,2022-10-21 10:38:51.981760,2022-10-21 10:40:07.627900,0 days 00:01:15.646140,282.0,3.0,0.0001116533324379,2048.0,COMPLETE,
287.0,k2204_BPV,1.0,33.0,6.053423021512572e-06,2022-10-21 10:40:07.628431,2022-10-21 10:43:35.852373,0 days 00:03:28.223942,436.0,3.0,2.17551267242308e-05,2048.0,COMPLETE,
287.0,k2204_BPV,1.0,34.0,0.0062791258096694,2022-10-21 10:43:35.852903,2022-10-21 10:48:46.887417,0 days 00:05:11.034514,435.0,2.0,1.7940791887488005e-05,2048.0,COMPLETE,
287.0,k2204_BPV,1.0,35.0,0.0096598509699106,2022-10-21 10:48:46.887898,2022-10-21 10:49:52.278021,0 days 00:01:05.390123,775.0,4.0,5.473320723732627e-05,4096.0,COMPLETE,
287.0,k2204_BPV,1.0,36.0,3.267642568971496e-06,2022-10-21 10:49:52.278590,2022-10-21 10:52:16.109570,0 days 00:02:23.830980,345.0,4.0,1.4022340347736274e-05,512.0,COMPLETE,
287.0,k2204_BPV,1.0,37.0,6.697582193737617e-06,2022-10-21 10:52:16.110074,2022-10-21 10:54:58.771717,0 days 00:02:42.661643,339.0,5.0,1.3132238157106844e-05,512.0,COMPLETE,
287.0,k2204_BPV,1.0,38.0,1.31349079310894e-05,2022-10-21 10:54:58.772283,2022-10-21 10:56:59.752242,0 days 00:02:00.979959,421.0,5.0,1.3792549138728662e-05,512.0,COMPLETE,
287.0,k2204_BPV,1.0,39.0,6.76087165629724e-06,2022-10-21 10:56:59.752827,2022-10-21 10:59:55.240499,0 days 00:02:55.487672,362.0,5.0,1.1591785858077115e-05,512.0,COMPLETE,
287.0,k2204_BPV,1.0,40.0,7.060270945657976e-06,2022-10-21 10:59:55.241050,2022-10-21 11:02:02.572013,0 days 00:02:07.330963,371.0,5.0,1.5975277330410903e-05,512.0,COMPLETE,
287.0,k2204_BPV,1.0,41.0,1.1393104614398908e-05,2022-10-21 11:02:02.572572,2022-10-21 11:04:50.242934,0 days 00:02:47.670362,344.0,5.0,1.1368810965796022e-05,512.0,COMPLETE,
287.0,k2204_BPV,1.0,42.0,1.3547345588449389e-05,2022-10-21 11:04:50.243500,2022-10-21 11:06:15.111917,0 days 00:01:24.868417,492.0,5.0,1.786642781371669e-05,512.0,COMPLETE,
287.0,k2204_BPV,1.0,43.0,9.161907655652612e-06,2022-10-21 11:06:15.112488,2022-10-21 11:09:34.096529,0 days 00:03:18.984041,376.0,6.0,1.0337624823899115e-05,512.0,COMPLETE,
287.0,k2204_BPV,1.0,44.0,1.8357677618041635e-05,2022-10-21 11:09:34.097116,2022-10-21 11:10:34.654749,0 days 00:01:00.557633,575.0,5.0,2.6610285574325663e-05,512.0,COMPLETE,
287.0,k2204_BPV,1.0,45.0,0.0001768428046489,2022-10-21 11:10:34.655314,2022-10-21 11:12:26.511337,0 days 00:01:51.856023,409.0,6.0,1.8347361575726505e-05,512.0,COMPLETE,
287.0,k2204_BPV,1.0,46.0,1.72553463926306e-05,2022-10-21 11:12:26.511919,2022-10-21 11:13:21.215925,0 days 00:00:54.704006,468.0,5.0,4.703477190260978e-05,512.0,COMPLETE,
287.0,k2204_BPV,1.0,47.0,9.355860129289796e-06,2022-10-21 11:13:21.216432,2022-10-21 11:15:40.567135,0 days 00:02:19.350703,335.0,5.0,1.5276122923511018e-05,512.0,COMPLETE,
287.0,k2204_BPV,1.0,48.0,2.5534947781125084e-05,2022-10-21 11:15:40.567712,2022-10-21 11:17:15.718012,0 days 00:01:35.150300,378.0,6.0,2.647170455544288e-05,512.0,COMPLETE,
