dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_lr,params_batch_size,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params
44027.0,r1_08_BPV,1.0,22.0,2.9849321842193604,2022-11-08 16:33:28.063528,2022-11-08 16:34:27.006794,0 days 00:00:58.943266,869.0,2.0,0.004034460294893,4096.0,PRUNED,2.9849321842193604,,,
44027.0,r1_08_BPV,1.0,23.0,3.572650671005249,2022-11-08 16:34:27.007149,2022-11-08 16:36:29.344726,0 days 00:02:02.337577,544.0,5.0,0.0101360269756321,1024.0,COMPLETE,,,,
44027.0,r1_08_BPV,1.0,24.0,0.0005308898398652,2022-11-08 16:36:29.345444,2022-11-08 16:52:35.408321,0 days 00:16:06.062877,745.0,6.0,3.786409466677896e-05,512.0,COMPLETE,0.0073189628310501,0.0013021187623962,,
44027.0,r1_08_BPV,1.0,25.0,303.2811279296875,2022-11-08 16:52:35.408939,2022-11-08 16:53:36.818915,0 days 00:01:01.409976,37.0,4.0,0.0003923781571086,8124.0,PRUNED,303.2811279296875,,,
44027.0,r1_08_BPV,1.0,26.0,76.95594787597656,2022-11-08 16:53:36.819260,2022-11-08 16:55:53.478815,0 days 00:02:16.659555,456.0,2.0,4.314744599184872e-05,1024.0,PRUNED,76.95594787597656,,,
44027.0,r1_08_BPV,1.0,27.0,5.628557205200195,2022-11-08 16:55:53.479166,2022-11-08 16:56:53.908960,0 days 00:01:00.429794,744.0,4.0,0.0150587316684423,2048.0,PRUNED,5.628557205200195,,,
44027.0,r1_08_BPV,1.0,28.0,0.2555782198905945,2022-11-08 16:56:53.909288,2022-11-08 17:02:18.547655,0 days 00:05:24.638367,324.0,5.0,0.0174705270261264,8124.0,COMPLETE,,,,
44027.0,r1_08_BPV,1.0,29.0,0.0006459311698563,2022-11-08 17:02:18.548260,2022-11-08 17:14:09.393803,0 days 00:11:50.845543,966.0,3.0,0.0002965012598028,512.0,COMPLETE,0.001509222202003,,,
44027.0,r1_08_BPV,1.0,30.0,0.0030842800624668,2022-11-08 17:14:09.394435,2022-11-08 17:17:26.567671,0 days 00:03:17.173236,722.0,2.0,0.0018929600990182,512.0,COMPLETE,0.0110065061599016,0.0039652381092309,,
44027.0,r1_08_BPV,1.0,31.0,0.0117433983832597,2022-11-08 17:17:26.568346,2022-11-08 17:20:08.528754,0 days 00:02:41.960408,765.0,3.0,0.0011239667193377,512.0,PRUNED,0.0160494707524776,0.0117433983832597,,
44027.0,r1_08_BPV,1.0,32.0,3.203001976013184,2022-11-08 17:20:08.529094,2022-11-08 17:24:17.787547,0 days 00:04:09.258453,665.0,5.0,0.0163129937216295,4096.0,COMPLETE,,,,
44027.0,r1_08_BPV,1.0,33.0,48.763790130615234,2022-11-08 17:24:17.788155,2022-11-08 17:27:21.450327,0 days 00:03:03.662172,970.0,5.0,0.0922602537762544,8124.0,COMPLETE,,,,
44027.0,r1_08_BPV,1.0,34.0,0.0088198306038975,2022-11-08 17:27:21.450914,2022-11-08 17:29:56.345541,0 days 00:02:34.894627,1016.0,5.0,7.055031631729794e-05,1024.0,PRUNED,0.0562802962958812,0.0088198306038975,,
44027.0,r1_08_BPV,1.0,35.0,26.94510841369629,2022-11-08 17:29:56.345899,2022-11-08 17:32:34.486311,0 days 00:02:38.140412,734.0,6.0,1.1622488902081596e-05,2048.0,PRUNED,26.94510841369629,,,
44027.0,r1_08_BPV,1.0,36.0,10.35207176208496,2022-11-08 17:32:34.486656,2022-11-08 17:33:35.064150,0 days 00:01:00.577494,684.0,2.0,0.0020414609166172,8124.0,PRUNED,10.35207176208496,,,
44027.0,r1_08_BPV,1.0,37.0,0.0413962453603744,2022-11-08 17:33:35.064500,2022-11-08 17:37:15.649957,0 days 00:03:40.585457,21.0,4.0,0.0024274219557458,512.0,COMPLETE,0.0450300239026546,,,
44027.0,r1_08_BPV,1.0,38.0,50.48115539550781,2022-11-08 17:37:15.650593,2022-11-08 17:39:56.443845,0 days 00:02:40.793252,212.0,3.0,1.1701273974632898e-05,512.0,PRUNED,50.48115539550781,,,
44027.0,r1_08_BPV,1.0,39.0,5.25006914138794,2022-11-08 17:39:56.444180,2022-11-08 17:40:55.025758,0 days 00:00:58.581578,404.0,3.0,0.0127970148894525,2048.0,PRUNED,5.25006914138794,,,
44027.0,r1_08_BPV,1.0,40.0,0.6202970743179321,2022-11-08 17:40:55.026056,2022-11-08 17:45:22.184020,0 days 00:04:27.157964,495.0,6.0,0.0098892023247673,8124.0,COMPLETE,,,,
44027.0,r1_08_BPV,1.0,41.0,0.003371407976374,2022-11-08 17:45:22.184694,2022-11-08 17:53:50.618247,0 days 00:08:28.433553,367.0,5.0,6.082046463582664e-05,512.0,PRUNED,0.018591932952404,0.003371407976374,,
44027.0,r1_08_BPV,1.0,42.0,0.008706459775567,2022-11-08 17:53:50.618629,2022-11-08 17:56:19.765427,0 days 00:02:29.146798,831.0,4.0,0.0001668376937703,1024.0,PRUNED,0.0688656121492385,0.008706459775567,,
44027.0,r1_08_BPV,1.0,43.0,6.456973075866699,2022-11-08 17:56:19.765762,2022-11-08 17:59:01.848546,0 days 00:02:42.082784,653.0,3.0,0.0028614578517285,512.0,PRUNED,6.456973075866699,,,
44027.0,r1_08_BPV,1.0,44.0,0.1424646228551864,2022-11-08 17:59:01.848874,2022-11-08 18:00:32.786631,0 days 00:01:30.937757,704.0,2.0,0.0214125539111608,512.0,COMPLETE,,,,
44027.0,r1_08_BPV,1.0,45.0,0.6275931000709534,2022-11-08 18:00:32.787250,2022-11-08 18:01:45.265961,0 days 00:01:12.478711,671.0,5.0,0.0035366534814912,512.0,PRUNED,0.6275931000709534,,,
