dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_n_out,params_mean_type,params_kernel_type,params_num_mixtures,params_lr,params_batch_size,params_num_inducing,params_initialize_fe,params_minit,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_Losses,state,system_attrs_fixed_params
287.0,wine_quality,1.0,19.0,0.0145820453763008,2022-10-23 03:11:21.099075,2022-10-23 03:14:43.316386,0 days 00:03:22.217311,622.0,5.0,11.0,constant,matern1.5,,0.0005031088293821,2048.0,237.0,True,random,294.0,,,COMPLETE,
287.0,wine_quality,1.0,20.0,0.0131610110402107,2022-10-23 03:14:43.317007,2022-10-23 03:20:02.817803,0 days 00:05:19.500796,899.0,4.0,11.0,constant,matern0.5,,0.000124887768577,512.0,123.0,True,random,288.0,,,COMPLETE,
287.0,wine_quality,1.0,21.0,0.0128334108740091,2022-10-23 03:20:02.818415,2022-10-23 03:22:18.209349,0 days 00:02:15.390934,555.0,2.0,8.0,constant,matern1.5,,0.0015567899966116,512.0,60.0,True,random,133.0,,,COMPLETE,
287.0,wine_quality,1.0,22.0,0.0132262371480464,2022-10-23 03:22:18.209949,2022-10-23 03:23:33.482197,0 days 00:01:15.272248,490.0,2.0,8.0,constant,matern1.5,,0.0019574455159029,512.0,50.0,True,random,68.0,,,COMPLETE,
287.0,wine_quality,1.0,23.0,0.0128516480326652,2022-10-23 03:23:33.482847,2022-10-23 03:25:17.836677,0 days 00:01:44.353830,624.0,2.0,5.0,constant,matern1.5,,0.0037247317928758,512.0,79.0,True,random,99.0,,,COMPLETE,
287.0,wine_quality,1.0,24.0,0.0127691673114895,2022-10-23 03:25:17.837250,2022-10-23 03:27:15.941524,0 days 00:01:58.104274,424.0,3.0,9.0,constant,matern1.5,,0.0039030606389919,512.0,229.0,True,random,100.0,,,COMPLETE,
287.0,wine_quality,1.0,25.0,0.0128550138324499,2022-10-23 03:27:15.942151,2022-10-23 03:30:20.102323,0 days 00:03:04.160172,553.0,5.0,10.0,constant,matern1.5,,0.0004485053972158,512.0,92.0,True,random,163.0,,,COMPLETE,
287.0,wine_quality,1.0,26.0,0.0127859665080904,2022-10-23 03:30:20.102990,2022-10-23 03:34:35.236501,0 days 00:04:15.133511,847.0,4.0,14.0,constant,matern1.5,,0.0002192034464516,512.0,63.0,True,random,228.0,,,COMPLETE,
287.0,wine_quality,1.0,27.0,0.0142951235175132,2022-10-23 03:34:35.237096,2022-10-23 03:36:37.484727,0 days 00:02:02.247631,665.0,2.0,5.0,linear,matern1.5,,0.001141351081659,1024.0,474.0,True,kmeans,115.0,,,COMPLETE,
287.0,wine_quality,1.0,28.0,0.0130264051258564,2022-10-23 03:36:37.485316,2022-10-23 03:44:01.531633,0 days 00:07:24.046317,766.0,5.0,7.0,constant,matern1.5,,0.0001012864259865,512.0,133.0,True,random,400.0,,,COMPLETE,
287.0,wine_quality,1.0,29.0,0.0148057024925947,2022-10-23 03:44:01.532237,2022-10-23 03:44:44.998762,0 days 00:00:43.466525,1008.0,4.0,12.0,constant,matern0.5,,0.0074340825592504,2048.0,263.0,True,random,48.0,,,COMPLETE,
287.0,wine_quality,1.0,30.0,0.0136771807447075,2022-10-23 03:44:44.999386,2022-10-23 03:48:40.696189,0 days 00:03:55.696803,318.0,3.0,4.0,constant,rbf,,0.0005060991453,1024.0,529.0,True,random,292.0,,,COMPLETE,
287.0,wine_quality,1.0,31.0,0.0126552712172269,2022-10-23 03:48:40.696790,2022-10-23 03:50:40.280068,0 days 00:01:59.583278,407.0,3.0,9.0,constant,matern1.5,,0.0036345837194855,512.0,233.0,True,random,104.0,,,COMPLETE,
287.0,wine_quality,1.0,32.0,0.0129017625004053,2022-10-23 03:50:40.280652,2022-10-23 03:52:56.785772,0 days 00:02:16.505120,198.0,2.0,9.0,constant,matern1.5,,0.0027945614257262,512.0,336.0,True,random,124.0,,,COMPLETE,
287.0,wine_quality,1.0,33.0,0.0128050744533538,2022-10-23 03:52:56.786352,2022-10-23 03:54:45.540371,0 days 00:01:48.754019,486.0,3.0,7.0,constant,matern1.5,,0.0048580514836197,512.0,169.0,True,random,96.0,,,COMPLETE,
287.0,wine_quality,1.0,34.0,0.0134464344009757,2022-10-23 03:54:45.540970,2022-10-23 03:56:04.749154,0 days 00:01:19.208184,370.0,3.0,10.0,constant,matern1.5,,0.0128135783273804,512.0,263.0,True,random,65.0,,,COMPLETE,
287.0,wine_quality,1.0,35.0,0.0124935591593384,2022-10-23 03:56:04.749759,2022-10-23 03:59:39.653463,0 days 00:03:34.903704,568.0,4.0,12.0,constant,matern1.5,,0.0014364667800132,512.0,1123.0,True,random,132.0,,,COMPLETE,
