dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_n_out,params_mean_type,params_kernel_type,params_num_mixtures,params_lr,params_batch_size,params_num_inducing,params_initialize_fe,params_minit,user_attrs_MAX_EPOCHS,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_fixed_params,system_attrs_completed_rung_2,system_attrs_completed_rung_3
44027.0,year,1.0,21.0,0.4634225964546203,2022-11-02 17:47:00.358358,2022-11-02 17:47:55.525182,0 days 00:00:55.166824,551.0,2.0,16.0,constant,matern0.5,,4.317654404034313e-05,8192.0,106.0,0.0,kmeans,,PRUNED,0.4634225964546203,,,,
44027.0,year,1.0,22.0,0.0113147879019379,2022-11-02 17:47:55.525505,2022-11-02 17:52:58.612287,0 days 00:05:03.086782,549.0,3.0,14.0,linear,matern1.5,,0.000303491012063,8192.0,277.0,0.0,kmeans,52.0,COMPLETE,,,,,
44027.0,year,1.0,23.0,0.0105752712115645,2022-11-02 17:52:58.613110,2022-11-02 17:56:50.750596,0 days 00:03:52.137486,954.0,5.0,2.0,linear,matern1.5,,0.0029816221944836,2048.0,1803.0,0.0,random,13.0,COMPLETE,0.0111094918102025,,,,
44027.0,year,1.0,24.0,0.0102533744648098,2022-11-02 17:56:50.751427,2022-11-02 18:03:25.411671,0 days 00:06:34.660244,929.0,2.0,15.0,constant,rbf,,0.0002511791404727,2048.0,896.0,1.0,random,48.0,COMPLETE,0.0106360418722033,,,,
44027.0,year,1.0,25.0,0.0111494613811373,2022-11-02 18:03:25.412486,2022-11-02 18:06:20.324548,0 days 00:02:54.912062,426.0,2.0,4.0,linear,matern0.5,,0.0899890088859424,1024.0,1396.0,1.0,random,7.0,COMPLETE,,,,,
44027.0,year,1.0,26.0,0.010425766929984,2022-11-02 18:06:20.325383,2022-11-02 18:18:24.724505,0 days 00:12:04.399122,1012.0,5.0,2.0,linear,matern1.5,,0.0011928526358524,2048.0,1681.0,0.0,random,54.0,COMPLETE,0.0114312367513775,0.0105518260970711,,,
44027.0,year,1.0,27.0,0.0106507744640111,2022-11-02 18:18:24.725373,2022-11-02 18:22:57.720706,0 days 00:04:32.995333,590.0,4.0,16.0,constant,rbf,,0.0023982120008533,8192.0,1667.0,1.0,kmeans,,PRUNED,0.0106507744640111,,,,
44027.0,year,1.0,28.0,0.0153441810980439,2022-11-02 18:22:57.721068,2022-11-02 18:25:55.233680,0 days 00:02:57.512612,739.0,2.0,10.0,linear,matern0.5,,1.209870966452205e-05,1024.0,58.0,1.0,kmeans,16.0,COMPLETE,,,,,
44027.0,year,1.0,29.0,0.0137942796573042,2022-11-02 18:25:55.234544,2022-11-02 18:43:04.372534,0 days 00:17:09.137990,983.0,3.0,3.0,constant,matern0.5,,4.476513594654144e-06,1024.0,968.0,1.0,random,,PRUNED,0.0137942796573042,,,,
44027.0,year,1.0,30.0,0.0117394048720598,2022-11-02 18:43:04.372912,2022-11-02 18:45:49.532011,0 days 00:02:45.159099,674.0,4.0,3.0,constant,rbf,,0.0049212834274388,8192.0,173.0,1.0,kmeans,,PRUNED,0.0117394048720598,,,,
44027.0,year,1.0,31.0,0.0106122037395834,2022-11-02 18:45:49.532359,2022-11-02 18:50:02.921410,0 days 00:04:13.389051,1024.0,5.0,2.0,linear,matern1.5,,0.0012276139220774,2048.0,1891.0,0.0,random,14.0,COMPLETE,0.0108205582946538,,,,
