dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_n_out,params_mean_type,params_kernel_type,params_num_mixtures,params_lr,params_batch_size,params_num_inducing,params_initialize_fe,params_minit,user_attrs_MAX_EPOCHS,state,system_attrs_fixed_params
42225.0,diamonds,1.0,19.0,0.0029708831571042,2022-10-28 13:37:48.572274,2022-10-28 13:38:02.724017,0 days 00:00:14.151743,267.0,2.0,17.0,constant,matern0.5,,0.0867282348324371,1024.0,140.0,1.0,random,2.0,COMPLETE,
42225.0,diamonds,1.0,20.0,0.0010273945517838,2022-10-28 13:38:02.724595,2022-10-28 13:40:24.359245,0 days 00:02:21.634650,619.0,5.0,10.0,constant,matern1.5,,0.0018658009818498,512.0,456.0,1.0,random,45.0,COMPLETE,
42225.0,diamonds,1.0,21.0,0.0010673872893676,2022-10-28 13:40:24.359824,2022-10-28 13:43:08.854735,0 days 00:02:44.494911,883.0,5.0,7.0,linear,matern1.5,,0.0008348552862519,512.0,716.0,1.0,kmeans,36.0,COMPLETE,
42225.0,diamonds,1.0,22.0,0.0010796001879498,2022-10-28 13:43:08.855344,2022-10-28 13:44:33.352285,0 days 00:01:24.496941,457.0,5.0,13.0,constant,matern1.5,,0.0076455744789522,512.0,283.0,1.0,random,26.0,COMPLETE,
42225.0,diamonds,1.0,23.0,0.0010250587947666,2022-10-28 13:44:33.352880,2022-10-28 13:48:23.472749,0 days 00:03:50.119869,229.0,4.0,3.0,linear,matern1.5,,0.0035423991780381,512.0,1334.0,1.0,kmeans,38.0,COMPLETE,
42225.0,diamonds,1.0,24.0,0.0011165149044245,2022-10-28 13:48:23.473366,2022-10-28 13:49:12.819587,0 days 00:00:49.346221,613.0,5.0,6.0,constant,matern1.5,,0.0121751065603452,512.0,139.0,1.0,random,13.0,COMPLETE,
42225.0,diamonds,1.0,25.0,0.0010615084320306,2022-10-28 13:49:12.820163,2022-10-28 13:54:44.917453,0 days 00:05:32.097290,320.0,4.0,12.0,constant,matern1.5,,0.0001957557621727,512.0,415.0,1.0,random,121.0,COMPLETE,
42225.0,diamonds,1.0,26.0,0.0010935914469882,2022-10-28 13:54:44.918051,2022-10-28 13:59:22.524198,0 days 00:04:37.606147,154.0,3.0,9.0,linear,matern1.5,,0.0008442518755382,512.0,931.0,1.0,kmeans,61.0,COMPLETE,
42225.0,diamonds,1.0,27.0,0.0011549675837159,2022-10-28 13:59:22.524755,2022-10-28 14:00:33.359058,0 days 00:01:10.834303,925.0,5.0,16.0,constant,matern0.5,,0.0053092807482153,2048.0,597.0,0.0,random,42.0,COMPLETE,
42225.0,diamonds,1.0,28.0,0.0012544610071927,2022-10-28 14:00:33.359617,2022-10-28 14:04:41.305459,0 days 00:04:07.945842,467.0,4.0,20.0,linear,rbf,,0.0023707050544923,1024.0,1471.0,1.0,kmeans,56.0,COMPLETE,
42225.0,diamonds,1.0,29.0,0.0011997607070952,2022-10-28 14:04:41.306021,2022-10-28 14:05:39.266611,0 days 00:00:57.960590,693.0,5.0,2.0,constant,matern1.5,,0.0278765784686836,512.0,54.0,0.0,kmeans,18.0,COMPLETE,
42225.0,diamonds,1.0,30.0,0.0012300095986574,2022-10-28 14:05:39.267200,2022-10-28 14:06:37.921919,0 days 00:00:58.654719,1005.0,3.0,4.0,constant,rbf,,0.0112529677408837,2048.0,1030.0,1.0,random,29.0,COMPLETE,
42225.0,diamonds,1.0,31.0,0.0010618056403473,2022-10-28 14:06:37.922490,2022-10-28 14:10:55.093386,0 days 00:04:17.170896,689.0,5.0,7.0,constant,matern1.5,,0.0003645715352422,512.0,667.0,1.0,random,77.0,COMPLETE,
42225.0,diamonds,1.0,32.0,0.0010946139227598,2022-10-28 14:10:55.093958,2022-10-28 14:12:41.557519,0 days 00:01:46.463561,840.0,5.0,8.0,constant,matern1.5,,0.0005686267444869,512.0,352.0,1.0,random,33.0,COMPLETE,
42225.0,diamonds,1.0,33.0,0.0010412192204967,2022-10-28 14:12:41.558110,2022-10-28 14:14:34.431966,0 days 00:01:52.873856,765.0,5.0,10.0,constant,matern1.5,,0.0012725312961449,512.0,223.0,1.0,random,37.0,COMPLETE,
42225.0,diamonds,1.0,34.0,0.0010733683593571,2022-10-28 14:14:34.432559,2022-10-28 14:17:38.603202,0 days 00:03:04.170643,959.0,4.0,7.0,constant,matern1.5,,0.0002388401616811,1024.0,852.0,0.0,random,85.0,COMPLETE,
42225.0,diamonds,1.0,35.0,0.0010921852663159,2022-10-28 14:17:38.603916,2022-10-28 14:19:23.331885,0 days 00:01:44.727969,802.0,5.0,5.0,constant,matern1.5,,0.0005691094485559,512.0,93.0,1.0,random,35.0,COMPLETE,
42225.0,diamonds,1.0,36.0,0.0010106047848239,2022-10-28 14:19:23.332450,2022-10-28 14:27:03.339725,0 days 00:07:40.007275,598.0,3.0,11.0,constant,matern0.5,,0.0001159242174021,512.0,611.0,1.0,random,158.0,COMPLETE,
42225.0,diamonds,1.0,37.0,0.0012082125758752,2022-10-28 14:27:03.340296,2022-10-28 14:29:34.215142,0 days 00:02:30.874846,490.0,3.0,17.0,constant,matern0.5,,0.000278719065627,2048.0,591.0,0.0,random,102.0,COMPLETE,
42225.0,diamonds,1.0,38.0,0.0010814162669703,2022-10-28 14:29:34.215704,2022-10-28 14:34:15.188436,0 days 00:04:40.972732,579.0,3.0,11.0,constant,matern0.5,,0.0001165576069437,1024.0,287.0,1.0,random,170.0,COMPLETE,
42225.0,diamonds,1.0,39.0,0.001118064043112,2022-10-28 14:34:15.189057,2022-10-28 14:43:32.839672,0 days 00:09:17.650615,445.0,2.0,14.0,linear,matern0.5,,0.0001142429875691,512.0,185.0,1.0,kmeans,214.0,COMPLETE,
42225.0,diamonds,1.0,40.0,0.0010214820504188,2022-10-28 14:43:32.840251,2022-10-28 14:45:35.897407,0 days 00:02:03.057156,740.0,3.0,12.0,constant,matern0.5,,0.0065074884731813,512.0,1138.0,1.0,random,29.0,COMPLETE,
42225.0,diamonds,1.0,41.0,0.0009964532218873,2022-10-28 14:45:35.897984,2022-10-28 14:48:36.676217,0 days 00:03:00.778233,743.0,3.0,12.0,constant,matern0.5,,0.0071720722248698,512.0,1177.0,1.0,random,44.0,COMPLETE,
42225.0,diamonds,1.0,42.0,0.0010132344905287,2022-10-28 14:48:36.676866,2022-10-28 14:50:29.957245,0 days 00:01:53.280379,732.0,3.0,12.0,constant,matern0.5,,0.0076599007418549,512.0,1136.0,1.0,random,27.0,COMPLETE,
42225.0,diamonds,1.0,43.0,0.0010687774047255,2022-10-28 14:50:29.957859,2022-10-28 14:52:20.945765,0 days 00:01:50.987906,668.0,3.0,13.0,constant,matern0.5,,0.0152257391796154,512.0,1197.0,1.0,random,25.0,COMPLETE,
