dataset_id,dataset_name,outer_run,n_max,n_layers,n_out,mean_type,kernel_type,num_mixtures,lr,batch_size,num_inducing,initialize_fe,minit,MAX_EPOCHS,mse,mae,max_absolute_error,nll_score,train_time
287.0,k2204_BPV,1.0,645.0,2.0,10.0,linear,rbf,,0.000654006964475,512.0,175.0,1.0,kmeans,1999.0,3.492717937092493e-08,0.0001317895948886,0.001255452632904,-4.412205598378113,333.4853632450104
287.0,k2204_BPV,2.0,930.0,2.0,6.0,constant,rbf,,0.0029324123323659,512.0,949.0,True,kmeans,452.0,1.1700839763761905e-07,0.0002413484908174,0.0018066763877868,-4.829470417871991,232.87896156311035
287.0,k2204_BPV,3.0,171.0,2.0,13.0,linear,matern1.5,,0.000405043906005,512.0,52.0,True,random,1999.0,7.504979180339433e-07,0.0006792694330215,0.0028117895126342,-4.124087119194677,335.73861837387085
287.0,k2204_BPV,4.0,963.0,2.0,9.0,constant,rbf,,0.0030560377973222,512.0,811.0,False,kmeans,731.0,7.461637352434991e-08,0.0001989988813875,0.0015833973884582,-4.769386649598551,313.086088180542
287.0,k2204_BPV,5.0,503.0,2.0,6.0,constant,rbf,,0.002089253331443,512.0,95.0,True,random,537.0,1.457864868825709e-07,0.0002880028623621,0.001764178276062,-4.841574770905188,86.50098848342896
