dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_max,params_n_layers,params_n_out,params_mean_type,params_kernel_type,params_num_mixtures,params_lr,params_batch_size,params_num_inducing,params_initialize_fe,params_minit,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_Losses,state,system_attrs_fixed_params
4549.0,k2204_PPV,1.0,18.0,0.0006371578201651,2022-10-19 17:21:21.588722,2022-10-19 17:21:57.247946,0 days 00:00:35.659224,921.0,3.0,8.0,constant,matern1.5,,0.0173368946714439,2048.0,143.0,0.0,kmeans,46.0,,,COMPLETE,
4549.0,k2204_PPV,1.0,19.0,0.0006379227852448,2022-10-19 17:21:57.248489,2022-10-19 17:22:52.558591,0 days 00:00:55.310102,623.0,4.0,14.0,linear,matern0.5,,0.0023424581142299,512.0,457.0,1.0,random,41.0,,,COMPLETE,
4549.0,k2204_PPV,1.0,20.0,0.0001541438978165,2022-10-19 17:22:52.559250,2022-10-19 17:24:01.004234,0 days 00:01:08.444984,906.0,2.0,5.0,linear,matern1.5,,0.0064640870210272,512.0,240.0,0.0,kmeans,61.0,,,COMPLETE,
4549.0,k2204_PPV,1.0,21.0,0.0002109461347572,2022-10-19 17:24:01.004805,2022-10-19 17:24:55.885710,0 days 00:00:54.880905,909.0,2.0,5.0,linear,matern1.5,,0.0070868164883398,512.0,240.0,0.0,kmeans,47.0,,,COMPLETE,
4549.0,k2204_PPV,1.0,22.0,0.0001561194221721,2022-10-19 17:24:55.886269,2022-10-19 17:26:40.060736,0 days 00:01:44.174467,927.0,2.0,5.0,linear,matern1.5,,0.0096418304328418,512.0,266.0,0.0,kmeans,96.0,,,COMPLETE,
4549.0,k2204_PPV,1.0,23.0,0.0015495074912905,2022-10-19 17:26:40.061313,2022-10-19 17:27:15.457336,0 days 00:00:35.396023,1018.0,2.0,10.0,linear,matern1.5,,0.0358713718052505,512.0,302.0,0.0,kmeans,25.0,,,COMPLETE,
4549.0,k2204_PPV,1.0,24.0,0.0002788532583508,2022-10-19 17:27:15.457907,2022-10-19 17:28:29.922216,0 days 00:01:14.464309,880.0,3.0,7.0,linear,matern1.5,,0.0093261465872762,512.0,157.0,0.0,kmeans,66.0,,,COMPLETE,
4549.0,k2204_PPV,1.0,25.0,0.0020843115635216,2022-10-19 17:28:29.922812,2022-10-19 17:29:00.147628,0 days 00:00:30.224816,714.0,2.0,4.0,linear,rbf,,0.0142635223206173,2048.0,493.0,0.0,kmeans,32.0,,,COMPLETE,
4549.0,k2204_PPV,1.0,26.0,0.0002338354242965,2022-10-19 17:29:00.148255,2022-10-19 17:29:49.195476,0 days 00:00:49.047221,951.0,3.0,17.0,constant,matern1.5,,0.0025757781125598,512.0,80.0,0.0,random,44.0,,,COMPLETE,
4549.0,k2204_PPV,1.0,27.0,0.0006783754797652,2022-10-19 17:29:49.196053,2022-10-19 17:30:59.312114,0 days 00:01:10.116061,852.0,5.0,6.0,linear,matern0.5,,0.0227016644480233,512.0,277.0,0.0,kmeans,52.0,,,COMPLETE,
4549.0,k2204_PPV,1.0,28.0,0.0009449747740291,2022-10-19 17:30:59.312692,2022-10-19 17:31:18.611316,0 days 00:00:19.298624,994.0,2.0,3.0,constant,matern1.5,,0.0444749445282348,512.0,741.0,0.0,random,8.0,,,COMPLETE,
4549.0,k2204_PPV,1.0,29.0,0.0001904662931337,2022-10-19 17:31:18.611884,2022-10-19 17:32:44.009080,0 days 00:01:25.397196,752.0,4.0,2.0,constant,rbf,,0.0089729366404063,512.0,916.0,0.0,kmeans,48.0,,,COMPLETE,
4549.0,k2204_PPV,1.0,30.0,0.013857027515769,2022-10-19 17:32:44.009696,2022-10-19 17:33:11.324754,0 days 00:00:27.315058,984.0,3.0,12.0,linear,rbf,,0.0109233350185875,2048.0,108.0,0.0,kmeans,35.0,,,COMPLETE,
4549.0,k2204_PPV,1.0,31.0,0.0003307573206257,2022-10-19 17:33:11.325328,2022-10-19 17:34:08.550546,0 days 00:00:57.225218,739.0,4.0,3.0,constant,rbf,,0.0102980749606058,512.0,1156.0,0.0,kmeans,24.0,,,COMPLETE,
4549.0,k2204_PPV,1.0,32.0,0.0001704572496237,2022-10-19 17:34:08.551138,2022-10-19 17:36:26.224732,0 days 00:02:17.673594,874.0,5.0,2.0,constant,rbf,,0.007217218530016,512.0,1105.0,0.0,kmeans,71.0,,,COMPLETE,
4549.0,k2204_PPV,1.0,33.0,0.0005721404450014,2022-10-19 17:36:26.225307,2022-10-19 17:37:15.657988,0 days 00:00:49.432681,870.0,5.0,5.0,constant,rbf,,0.0213089895797231,512.0,411.0,0.0,kmeans,32.0,,,COMPLETE,
4549.0,k2204_PPV,1.0,34.0,0.0002113491063937,2022-10-19 17:37:15.658579,2022-10-19 17:38:25.297769,0 days 00:01:09.639190,668.0,5.0,2.0,constant,rbf,,0.0035487979929055,512.0,250.0,0.0,kmeans,57.0,,,COMPLETE,
4549.0,k2204_PPV,1.0,35.0,0.0001984942355193,2022-10-19 17:38:25.298362,2022-10-19 17:39:39.654542,0 days 00:01:14.356180,846.0,5.0,5.0,constant,rbf,,0.0061795602621182,512.0,194.0,0.0,kmeans,60.0,,,COMPLETE,
4549.0,k2204_PPV,1.0,36.0,0.0001985034614335,2022-10-19 17:39:39.655172,2022-10-19 17:41:15.026003,0 days 00:01:35.370831,964.0,5.0,3.0,linear,matern1.5,,0.0016987838935433,512.0,152.0,0.0,kmeans,77.0,,,COMPLETE,
4549.0,k2204_PPV,1.0,37.0,0.0020581572316586,2022-10-19 17:41:15.026587,2022-10-19 17:43:12.053990,0 days 00:01:57.027403,900.0,2.0,15.0,linear,rbf,,0.0151478393544045,1024.0,1480.0,0.0,kmeans,65.0,,,COMPLETE,
4549.0,k2204_PPV,1.0,38.0,0.0003185900859534,2022-10-19 17:43:12.054569,2022-10-19 17:43:54.146532,0 days 00:00:42.091963,797.0,5.0,9.0,constant,matern1.5,,0.0040099365008647,512.0,368.0,0.0,kmeans,26.0,,,COMPLETE,
4549.0,k2204_PPV,1.0,39.0,0.000537364045158,2022-10-19 17:43:54.147157,2022-10-19 17:44:17.833235,0 days 00:00:23.686078,649.0,2.0,11.0,constant,matern1.5,,0.0055611875622324,1024.0,643.0,0.0,random,20.0,,,COMPLETE,
4549.0,k2204_PPV,1.0,40.0,0.0003927763027604,2022-10-19 17:44:17.833821,2022-10-19 17:46:40.714938,0 days 00:02:22.881117,82.0,4.0,4.0,linear,rbf,,0.0005619186139801,512.0,221.0,0.0,kmeans,141.0,,,COMPLETE,
4549.0,k2204_PPV,1.0,41.0,0.0003018942661583,2022-10-19 17:46:40.715510,2022-10-19 17:48:01.572391,0 days 00:01:20.856881,704.0,4.0,2.0,constant,rbf,,0.0098129532671398,512.0,1051.0,0.0,kmeans,41.0,,,COMPLETE,
