dataset_name,outer_run,n_max,n_layers,n_out,mean_type,kernel_type,num_mixtures,lr,batch_size,num_inducing,initialize_fe,minit,MAX_EPOCHS,mse,mae,max_absolute_error,nll_score,train_time
r1_08_BPV,5.0,668.0,4.0,2.0,constant,rbf,,0.0207615953579882,8192.0,931.0,False,kmeans,8.0,0.0389753654599189,0.1855406165122985,0.7938308715820312,-0.2590189501430466,737.4260592460632
r1_08_PPV,2.0,553.0,4.0,6.0,constant,rbf,,0.0042187144909659,1024.0,1889.0,False,random,6.0,8.564956260670442e-06,0.0023184316232800484,0.052051544189453125,-1.8827832270953075,1595.4057257175446
