dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_dspp_layers,params_n_dspp_out,params_batch_size,params_lr,params_num_inducing,params_num_quadrature_sites,params_beta,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_fixed_params
216.0,elevators,1.0,21.0,0.0015043432358652,2022-10-27 01:51:11.721554,2022-10-27 02:06:13.701626,0 days 00:15:01.980072,2.0,4.0,256.0,0.0003953216035117,249.0,6.0,0.05,157.0,,,COMPLETE,
216.0,elevators,1.0,22.0,0.0017512654885649,2022-10-27 02:06:13.702169,2022-10-27 02:09:45.131275,0 days 00:03:31.429106,1.0,4.0,1024.0,0.001553347538342,222.0,9.0,0.05,150.0,,,COMPLETE,
216.0,elevators,1.0,23.0,0.0016950914869084,2022-10-27 02:09:45.131850,2022-10-27 02:12:59.896948,0 days 00:03:14.765098,2.0,2.0,512.0,0.0052962449884979,156.0,7.0,0.05,67.0,,,COMPLETE,
216.0,elevators,1.0,24.0,0.0048379085492342,2022-10-27 02:12:59.897481,2022-10-27 02:28:00.188261,0 days 00:15:00.290780,1.0,4.0,256.0,0.0001072491767044,370.0,10.0,0.05,217.0,,,COMPLETE,
216.0,elevators,1.0,25.0,0.0101315192878246,2022-10-27 02:28:00.188823,2022-10-27 02:33:52.184737,0 days 00:05:51.995914,3.0,2.0,1024.0,0.0004484026222474,633.0,8.0,1.0,62.0,,,COMPLETE,
216.0,elevators,1.0,26.0,0.0103218602016568,2022-10-27 02:33:52.185263,2022-10-27 02:36:35.484094,0 days 00:02:43.298831,4.0,4.0,256.0,0.0014778378743031,363.0,6.0,0.01,9.0,,,COMPLETE,
216.0,elevators,1.0,27.0,0.0032086971914395,2022-10-27 02:36:35.484627,2022-10-27 02:38:40.725123,0 days 00:02:05.240496,2.0,3.0,512.0,0.0261465772210568,94.0,9.0,0.2,43.0,,,COMPLETE,
216.0,elevators,1.0,28.0,0.0017469858285039,2022-10-27 02:38:40.725652,2022-10-27 02:40:23.138556,0 days 00:01:42.412904,1.0,1.0,256.0,0.0039446343470955,155.0,7.0,0.05,27.0,,,COMPLETE,
216.0,elevators,1.0,29.0,0.0097843008115887,2022-10-27 02:40:23.139084,2022-10-27 02:41:21.417284,0 days 00:00:58.278200,3.0,1.0,1024.0,0.0005396211051166,226.0,8.0,0.05,19.0,,,COMPLETE,
216.0,elevators,1.0,30.0,0.0038543930277228,2022-10-27 02:41:21.417864,2022-10-27 02:56:21.584620,0 days 00:15:00.166756,2.0,5.0,1024.0,0.0002789746983244,301.0,8.0,1.0,265.0,,,COMPLETE,
216.0,elevators,1.0,31.0,0.0013256060192361,2022-10-27 02:56:21.585151,2022-10-27 03:04:44.828097,0 days 00:08:23.242946,1.0,1.0,256.0,0.0013012386551742,788.0,9.0,0.05,84.0,,,COMPLETE,
216.0,elevators,1.0,32.0,0.0012021675356663,2022-10-27 03:04:44.828622,2022-10-27 03:16:10.165676,0 days 00:11:25.337054,1.0,1.0,256.0,0.0011288106427456,641.0,9.0,0.05,133.0,,,COMPLETE,
216.0,elevators,1.0,33.0,0.0013252329081296,2022-10-27 03:16:10.166217,2022-10-27 03:23:36.696287,0 days 00:07:26.530070,1.0,1.0,256.0,0.0010364386217171,637.0,10.0,0.05,87.0,,,COMPLETE,
216.0,elevators,1.0,34.0,0.0013713304651901,2022-10-27 03:23:36.696825,2022-10-27 03:29:26.919459,0 days 00:05:50.222634,1.0,1.0,256.0,0.0027162969432019,621.0,10.0,0.05,68.0,,,COMPLETE,
