dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_dspp_layers,params_n_dspp_out,params_batch_size,params_lr,params_num_inducing,params_num_quadrature_sites,params_beta,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params
44027.0,r1_08_PPV,1.0,18.0,2.392658871031017e-06,2022-11-04 23:45:36.267192,2022-11-04 23:55:49.758496,0 days 00:10:13.491304,2.0,2.0,512.0,0.0156141237421727,304.0,10.0,0.01,,,,PRUNED,1.332999272563029e-05,2.392658871031017e-06,,
44027.0,r1_08_PPV,1.0,19.0,4.531355807557702e-05,2022-11-04 23:55:49.758932,2022-11-05 00:00:35.218228,0 days 00:04:45.459296,2.0,2.0,512.0,0.097100884245662,364.0,10.0,0.01,,,,PRUNED,4.531355807557702e-05,,,
44027.0,r1_08_PPV,1.0,20.0,,2022-11-05 00:00:35.218681,,,1.0,4.0,512.0,0.0356009992475063,146.0,8.0,1.0,,,,RUNNING,,,,
44027.0,r1_08_PPV,1.0,0.0,,2022-11-05 00:07:41.703532,,,3.0,1.0,1024.0,0.001,200.0,8.0,0.05,,,,RUNNING,,,,"{'n_dspp_layers': 3, 'n_dspp_out': 1, 'num_inducing': 200, 'batch_size': 1024, 'lr': 0.001, 'num_quadrature_sites': 8, 'beta': 0.05}"
44027.0,r1_08_PPV,1.0,0.0,4.2456604205654e-06,2022-11-05 07:46:27.313566,2022-11-05 08:11:57.258635,0 days 00:25:29.945069,3.0,1.0,1024.0,0.001,200.0,8.0,0.05,32.0,,,COMPLETE,0.0001857611350715,3.227855995646678e-05,5.1145334509783424e-06,"{'n_dspp_layers': 3, 'n_dspp_out': 1, 'num_inducing': 200, 'batch_size': 1024, 'lr': 0.001, 'num_quadrature_sites': 8, 'beta': 0.05}"
44027.0,r1_08_PPV,1.0,1.0,9.51217589317821e-06,2022-11-05 08:11:57.259207,2022-11-05 08:19:24.292796,0 days 00:07:27.033589,3.0,1.0,2048.0,0.0023569998972305,92.0,5.0,0.01,14.0,,,COMPLETE,,,,
44027.0,r1_08_PPV,1.0,2.0,2.066465867756051e-06,2022-11-05 08:19:24.293365,2022-11-05 08:28:32.303786,0 days 00:09:08.010421,3.0,2.0,1024.0,0.0112566706414713,89.0,8.0,0.05,9.0,,,COMPLETE,6.50911624688888e-06,2.777589315883233e-06,,
44027.0,r1_08_PPV,1.0,3.0,1.3947329534858e-05,2022-11-05 08:28:32.304311,2022-11-05 08:33:39.585866,0 days 00:05:07.281555,2.0,4.0,2048.0,0.0922068811936701,268.0,5.0,0.2,4.0,,,COMPLETE,,,,
44027.0,r1_08_PPV,1.0,4.0,0.0001719906576909,2022-11-05 08:33:39.586409,2022-11-05 08:35:44.996813,0 days 00:02:05.410404,1.0,2.0,512.0,0.0013200351522021,101.0,6.0,1.0,,,,PRUNED,0.0001719906576909,,,
44027.0,r1_08_PPV,1.0,5.0,2.0484443666646257e-05,2022-11-05 08:35:44.997183,2022-11-05 09:06:02.893316,0 days 00:30:17.896133,1.0,1.0,512.0,0.0003988355218564,456.0,7.0,0.01,38.0,,,COMPLETE,0.0001123302135965,3.258665674366057e-05,,
