dataset_id,dataset_name,outer_run,n_dspp_layers,n_dspp_out,batch_size,lr,num_inducing,num_quadrature_sites,beta,MAX_EPOCHS,mse,mae,max_absolute_error,nll_score,train_time
42225.0,diamonds,1.0,1.0,5.0,256.0,0.0107733481548074,194.0,6.0,0.2,66.0,325110.28125,295.9183044433594,5845.9169921875,6.296903257282514,451.4879424571991
42225.0,diamonds,2.0,3.0,4.0,256.0,0.0135417359363851,198.0,5.0,0.2,49.0,323600.59375,296.2392272949219,5105.9970703125,6.305159775398087,645.289092540741
42225.0,diamonds,3.0,2.0,5.0,256.0,0.0100484151412466,163.0,5.0,0.01,77.0,320756.90625,284.4757385253906,6677.17578125,6.280836461306721,736.4847192764282
42225.0,diamonds,4.0,2.0,5.0,256.0,0.0175760820949108,236.0,5.0,0.05,60.0,288972.84375,284.7506408691406,4922.9853515625,6.26162179456374,644.9580256938934
42225.0,diamonds,5.0,1.0,5.0,512.0,0.008473029330223331,692.0,5.0,0.01,142.0,322821.46875,297.333740234375,13589.048828125,6.265102138756283,1008.7474589347839
