dataset_id,dataset_name,outer_run,n_dspp_layers,n_dspp_out,batch_size,lr,num_inducing,num_quadrature_sites,beta,MAX_EPOCHS,mse,mae,max_absolute_error,nll_score,train_time
44027.0,r1_08_PPV,1.0,2.0,2.0,2048.0,0.018507216652933,163.0,9.0,0.2,32.0,0.0002723422367125,0.0142052313312888,0.1703414916992187,-1.817378692793767,1027.1723709106443
44027.0,r1_08_PPV,2.0,2.0,4.0,2048.0,0.0064493833541397,776.0,10.0,1.0,54.0,2.5664779968792573e-05,0.0036733448505401,0.0987167358398437,-1.856320343377427,6663.621225595474
44027.0,r1_08_PPV,3.0,1.0,1.0,2048.0,0.0327852657503178,472.0,5.0,0.05,27.0,0.0001182885171147,0.0079512698575854,0.1933536529541015,-1.840356933161064,497.0406367778778
44027.0,r1_08_PPV,4.0,2.0,3.0,512.0,0.010715226218005,66.0,8.0,0.01,19.0,0.0002310718409717,0.0125881638377904,0.1345691680908203,-1.7831529509303552,1032.088448524475
44027.0,r1_08_PPV,5.0,2.0,2.0,2048.0,0.005864714713379791,396.0,10.0,1.0,43.0,0.00012194771261420101,0.00771004194393754,0.19292259216308594,-1.8481681085260357,2290.0233685970306
