dataset_id,dataset_name,outer_run,n_dspp_layers,n_dspp_out,batch_size,lr,num_inducing,num_quadrature_sites,beta,MAX_EPOCHS,mse,mae,max_absolute_error,nll_score,train_time
216.0,r1_08_BPV,1.0,2.0,2.0,2048.0,0.0088569278689666,150.0,5.0,1.0,58.0,0.0043695662170648,0.0536414720118045,0.9261093139648438,-0.3050796761980664,1045.7809896469116
216.0,r1_08_BPV,2.0,3.0,2.0,1024.0,0.0137676051053053,241.0,10.0,0.2,27.0,0.0086198672652244,0.0775339975953102,1.6563148498535156,-0.3126353739204403,1233.6970701217651
216.0,r1_08_BPV,3.0,2.0,3.0,1024.0,0.0122535617421376,146.0,10.0,0.01,23.0,0.0081081259995698,0.0781527757644653,1.4670181274414062,-0.3027280714618536,674.539990901947
216.0,r1_08_BPV,4.0,3.0,4.0,1024.0,0.0144274265319075,547.0,7.0,0.05,40.0,0.0720833241939544,0.2581704258918762,1.1483230590820312,-0.2663705787077918,4545.513470411301
216.0,r1_08_BPV,5.0,2.0,4.0,1024.0,0.0045012238646582,91.0,6.0,0.01,50.0,0.011959848925471306,0.09443408995866776,1.4249610900878906,-0.28939168973068724,1190.8140614032745
