dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_dspp_layers,params_n_dspp_out,params_batch_size,params_lr,params_num_inducing,params_num_quadrature_sites,params_beta,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params,system_attrs_completed_rung_3
44027.0,year,1.0,22.0,0.0149359731003642,2022-11-04 11:26:20.525783,2022-11-04 11:38:04.147451,0 days 00:11:43.621668,3.0,1.0,2048.0,0.0002252258797225,70.0,10.0,1.0,,,,PRUNED,0.0149359731003642,,,,
44027.0,year,1.0,23.0,0.0144376810640096,2022-11-04 11:38:04.147847,2022-11-04 11:42:15.373581,0 days 00:04:11.225734,1.0,1.0,512.0,0.0001830980572031,63.0,5.0,0.01,,,,PRUNED,0.0144376810640096,,,,
44027.0,year,1.0,24.0,0.0150083219632506,2022-11-04 11:42:15.373963,2022-11-04 11:44:09.001901,0 days 00:01:53.627938,2.0,3.0,2048.0,0.0242628216690365,110.0,10.0,0.01,,,,PRUNED,0.0150083219632506,,,,
44027.0,year,1.0,25.0,0.011994345113635,2022-11-04 11:44:09.002230,2022-11-04 12:16:18.975056,0 days 00:32:09.972826,1.0,1.0,1024.0,0.0001360141775115,104.0,5.0,0.2,119.0,,,COMPLETE,,,,,
44027.0,year,1.0,26.0,0.0150899495929479,2022-11-04 12:16:18.975578,2022-11-04 12:20:04.954034,0 days 00:03:45.978456,3.0,3.0,1024.0,0.0264194455119805,262.0,9.0,0.05,,,,PRUNED,0.0150899495929479,,,,
44027.0,year,1.0,27.0,0.015001798979938,2022-11-04 12:20:04.954447,2022-11-04 12:21:59.988099,0 days 00:01:55.033652,1.0,1.0,1024.0,0.0159489904174292,142.0,6.0,0.05,2.0,,,COMPLETE,,,,,
44027.0,year,1.0,28.0,0.0129178762435913,2022-11-04 12:21:59.988628,2022-11-04 12:23:47.936727,0 days 00:01:47.948099,2.0,2.0,1024.0,0.0023195388543851,121.0,10.0,0.05,,,,PRUNED,0.0129178762435913,,,,
44027.0,year,1.0,29.0,0.0150735052302479,2022-11-04 12:23:47.937174,2022-11-04 12:26:03.912413,0 days 00:02:15.975239,3.0,3.0,2048.0,0.0354626084494508,94.0,7.0,0.01,,,,PRUNED,0.0150735052302479,,,,
44027.0,year,1.0,30.0,0.0131200375035405,2022-11-04 12:26:03.912853,2022-11-04 12:28:29.374563,0 days 00:02:25.461710,1.0,3.0,2048.0,0.0009061438591581,206.0,7.0,0.05,,,,PRUNED,0.0131200375035405,,,,
44027.0,year,1.0,31.0,0.0110759735107421,2022-11-04 12:28:29.374915,2022-11-04 12:47:38.148960,0 days 00:19:08.774045,1.0,1.0,1024.0,0.0086249858065078,759.0,7.0,0.2,33.0,,,COMPLETE,,,,,
