dataset_id,dataset_name,outer_cv_split,number,value,datetime_start,datetime_complete,duration,params_n_dspp_layers,params_n_dspp_out,params_batch_size,params_lr,params_num_inducing,params_num_quadrature_sites,params_beta,user_attrs_MAX_EPOCHS,user_attrs_Train_Losses,user_attrs_Val_MSE,state,system_attrs_fixed_params
216.0,k2204_BPV,1.0,21.0,4.12188073823927e-05,2022-10-19 19:17:10.144314,2022-10-19 19:26:13.701532,0 days 00:09:03.557218,1.0,2.0,256.0,0.0013922182839091,181.0,8.0,0.2,174.0,,,COMPLETE,
216.0,k2204_BPV,1.0,22.0,3.434978316363413e-05,2022-10-19 19:26:13.702064,2022-10-19 19:33:42.009286,0 days 00:07:28.307222,1.0,2.0,256.0,0.0008762591606328,157.0,9.0,0.2,156.0,,,COMPLETE,
216.0,k2204_BPV,1.0,23.0,4.515761338552693e-05,2022-10-19 19:33:42.009816,2022-10-19 19:41:27.299782,0 days 00:07:45.289966,1.0,3.0,256.0,0.0008225227088866,169.0,7.0,0.2,150.0,,,COMPLETE,
216.0,k2204_BPV,1.0,24.0,3.1968049370334484e-05,2022-10-19 19:41:27.300325,2022-10-19 19:56:28.125393,0 days 00:15:00.825068,1.0,4.0,256.0,0.000242146861294,182.0,7.0,0.2,291.0,,,COMPLETE,
216.0,k2204_BPV,1.0,25.0,4.982000609743409e-05,2022-10-19 19:56:28.125928,2022-10-19 20:11:30.367507,0 days 00:15:02.241579,1.0,4.0,256.0,0.0002072243791327,105.0,6.0,0.2,320.0,,,COMPLETE,
216.0,k2204_BPV,1.0,26.0,4.728181738755666e-05,2022-10-19 20:11:30.368051,2022-10-19 20:26:32.270566,0 days 00:15:01.902515,1.0,5.0,256.0,0.0001865648893212,339.0,7.0,0.2,242.0,,,COMPLETE,
216.0,k2204_BPV,1.0,27.0,4.4966563109483104e-05,2022-10-19 20:26:32.271104,2022-10-19 20:34:20.301140,0 days 00:07:48.030036,1.0,4.0,256.0,0.0003783140771296,187.0,8.0,0.2,145.0,,,COMPLETE,
216.0,k2204_BPV,1.0,28.0,0.0008647801278129,2022-10-19 20:34:20.301701,2022-10-19 20:49:22.640951,0 days 00:15:02.339250,2.0,2.0,256.0,0.0001187009533469,279.0,7.0,0.2,183.0,,,COMPLETE,
216.0,k2204_BPV,1.0,29.0,0.0001164082113973,2022-10-19 20:49:22.641498,2022-10-19 20:54:20.376625,0 days 00:04:57.735127,1.0,1.0,1024.0,0.0008985068428829,99.0,8.0,0.2,238.0,,,COMPLETE,
216.0,k2204_BPV,1.0,30.0,0.0568081568926572,2022-10-19 20:54:20.377152,2022-10-19 21:09:21.171889,0 days 00:15:00.794737,3.0,5.0,256.0,0.0002590055432864,203.0,8.0,0.2,134.0,,,COMPLETE,
216.0,k2204_BPV,1.0,31.0,3.9876203572930535e-05,2022-10-19 21:09:21.172436,2022-10-19 21:21:51.825871,0 days 00:12:30.653435,1.0,4.0,256.0,0.0004323259468822,195.0,8.0,0.2,229.0,,,COMPLETE,
216.0,k2204_BPV,1.0,32.0,5.86157893849304e-05,2022-10-19 21:21:51.826424,2022-10-19 21:26:58.316947,0 days 00:05:06.490523,1.0,5.0,256.0,0.0012804600961956,209.0,8.0,0.2,86.0,,,COMPLETE,
216.0,k2204_BPV,1.0,33.0,4.448620256880531e-05,2022-10-19 21:26:58.317473,2022-10-19 21:35:36.640645,0 days 00:08:38.323172,1.0,4.0,256.0,0.0004898282042733,160.0,7.0,0.2,172.0,,,COMPLETE,
216.0,k2204_BPV,1.0,34.0,9.831105489865875e-05,2022-10-19 21:35:36.641191,2022-10-19 21:38:56.297045,0 days 00:03:19.655854,1.0,4.0,256.0,0.0021176569632406,127.0,8.0,0.2,61.0,,,COMPLETE,
216.0,k2204_BPV,1.0,35.0,5.447678722703131e-05,2022-10-19 21:38:56.297609,2022-10-19 21:53:56.880633,0 days 00:15:00.583024,1.0,3.0,256.0,0.0001462330863301,218.0,6.0,0.2,288.0,,,COMPLETE,
216.0,k2204_BPV,1.0,36.0,3.223852309020003e-05,2022-10-19 21:53:56.881206,2022-10-19 21:58:20.024548,0 days 00:04:23.143342,1.0,2.0,256.0,0.0006786594569262,175.0,5.0,0.01,84.0,,,COMPLETE,
